Replicate,Line,CO2,Navicula,Nitzschia,Scenedesmus,Pseudokirchneriella,Synechococcus,Anabaena
1,A,ambient,-1.053450429,-0.235058098,-0.584173377,-0.697549212,0.269036353,-0.154181138
1,B,ambient,-0.620054301,-0.258539944,-0.490263216,-0.577283407,0.410763202,-0.269499065
1,C,ambient,-1.081183337,-0.333464799,-0.568390567,-0.663630248,0.447810232,-0.324045221
1,D,high,-0.847990227,-0.035195912,-0.27037742,-0.417962648,0.483976115,-0.425821734
1,E,high,-0.662840222,-0.050144568,-0.215955387,-0.264922742,0.371228902,-0.345470782
1,F,high,-0.634428405,-0.099491746,-0.159768135,-0.284949781,0.35796516,-0.314055157
2,A,ambient,-0.832982642,-0.162137494,-0.580128045,-0.690203043,0.251582487,-0.146273139
2,B,ambient,-0.427700667,-0.165011259,-0.29762375,-0.46704572,-0.145061817,0.285823756
2,C,ambient,-0.799717296,-0.301703328,-0.513796656,-0.557808141,0.241687545,-0.125270849
2,D,high,-0.642174475,0.007224638,-0.189194695,-0.336650314,0.259330495,-0.208014851
2,E,high,-0.522464636,0.005146463,-0.077593247,-0.263843316,0.209652093,-0.181773004
2,F,high,-0.689700696,-0.064454536,-0.161362845,-0.301775945,0.389747563,-0.344676104
3,A,ambient,-0.902707273,-0.378183662,-0.550077567,-0.75390584,0.13402379,-0.007461673
3,B,ambient,-0.666059534,-0.411925614,-0.631746572,-0.670887026,0.431062921,-0.260245927
3,C,ambient,-0.798218472,-0.260185327,-0.414195383,-0.663560585,0.172110216,-0.038206706
3,D,high,-1.201472348,-0.495157611,-0.565507183,-0.717780866,0.36269742,-0.278954742
3,E,high,-0.852486466,-0.192220691,-0.315027522,-0.342811208,0.518871851,-0.482480542
3,F,high,-0.788804225,-0.073730122,-0.212532168,-0.336058754,0.474463699,-0.42860801
