Replicate,Line,CO2,species,initial concentration,final concentration,initial relative frequency,final relative frequency,,total growth,competition
1,A,ambient,Navicula,139095,193858,0.046644267,0.000898437,0.478923769,3.793740334,-1.053450429
1,A,ambient,Nitzschia,34844,1040710,0.01168453,0.004823186,4.900521707,3.793740334,-0.235058098
1,A,ambient,Scenedesmus,53455,428528,0.017925664,0.001986018,3.002986892,3.793740334,-0.584173377
1,A,ambient,Pseudokirchneriella,71927,377512,0.024119872,0.001749587,2.391927114,3.793740334,-0.697549212
1,A,ambient,Synechococcus,2028110,184500000,0.680106672,0.855067975,6.507340945,3.793740334,0.269036353
1,A,ambient,Anabaena,654616,29231711,0.219518995,0.135474797,5.480741575,3.793740334,-0.154181138
1,B,ambient,Navicula,194279,1071319,0.08591147,0.007596771,2.463185797,4.044478336,-0.620054301
1,B,ambient,Nitzschia,53177,1183553,0.023515136,0.008392623,4.476182363,4.044478336,-0.258539944
1,B,ambient,Scenedesmus,68289,601979,0.030197943,0.004268662,3.139983828,4.044478336,-0.490263216
1,B,ambient,Pseudokirchneriella,97437,612182,0.043087166,0.004341012,2.651423432,4.044478336,-0.577283407
1,B,ambient,Synechococcus,1065562,116250000,0.471198552,0.824333723,6.769471797,4.044478336,0.410763202
1,B,ambient,Anabaena,782643,21303949,0.346089733,0.151067211,4.766622799,4.044478336,-0.269499065
1,C,ambient,Navicula,159841,214264,0.056838223,0.001626125,0.422747196,3.339765554,-1.081183337
1,C,ambient,Nitzschia,32900,510152,0.011699034,0.003871727,3.954758061,3.339765554,-0.333464799
1,C,ambient,Scenedesmus,66930,479543,0.023799751,0.003639424,2.840933618,3.339765554,-0.568390567
1,C,ambient,Pseudokirchneriella,74131,387716,0.026360483,0.002942513,2.386841917,3.339765554,-0.663630248
1,C,ambient,Synechococcus,1626115,113250000,0.578232266,0.859495014,6.121938309,3.339765554,0.447810232
1,C,ambient,Anabaena,852299,16921743,0.303070243,0.128425196,4.311374222,3.339765554,-0.324045221
1,D,high,Navicula,208173,285685,0.026209587,0.001707359,0.456646063,3.250070378,-0.847990227
1,D,high,Nitzschia,53719,1010101,0.006763368,0.006036734,4.232928723,3.250070378,-0.035195912
1,D,high,Scenedesmus,43012,377512,0.005415339,0.002256153,3.133715688,3.250070378,-0.27037742
1,D,high,Pseudokirchneriella,63674,346903,0.00801679,0.002073222,2.445752123,3.250070378,-0.417962648
1,D,high,Synechococcus,1906611,101000000,0.240048389,0.603612985,5.727200967,3.250070378,0.483976115
1,D,high,Anabaena,5667423,64305556,0.713546528,0.384313548,3.504178706,3.250070378,-0.425821734
1,E,high,Navicula,153111,438731,0.028883406,0.001991661,1.518762286,4.07581379,-0.662840222
1,E,high,Nitzschia,60715,2061014,0.01145352,0.009356175,5.085158818,4.07581379,-0.050144568
1,E,high,Scenedesmus,54144,938680,0.010213958,0.004261228,4.115758246,4.07581379,-0.215955387
1,E,high,Pseudokirchneriella,75897,1081522,0.014317528,0.004909676,3.832876447,4.07581379,-0.264922742
1,E,high,Synechococcus,2818697,184500000,0.531730627,0.83755578,6.032448783,4.07581379,0.371228902
1,E,high,Anabaena,2138423,31263889,0.403400962,0.141925479,3.86987816,4.07581379,-0.345470782
1,F,high,Navicula,190961,693807,0.047169725,0.002703332,1.861252632,4.578733452,-0.634428405
1,F,high,Nitzschia,39706,1601877,0.009807765,0.006241517,5.334275459,4.578733452,-0.099491746
1,F,high,Scenedesmus,34300,1050913,0.008472594,0.004094753,4.937275952,4.578733452,-0.159768135
1,F,high,Pseudokirchneriella,74345,1295786,0.018364152,0.005048871,4.123443438,4.578733452,-0.284949781
1,F,high,Synechococcus,1997833,214000000,0.493488356,0.833824571,6.743030891,4.578733452,0.35796516
1,F,high,Anabaena,1711244,38006326,0.422697409,0.148086955,4.47312234,4.578733452,-0.314055157
2,A,ambient,Navicula,139095,387716,0.046644267,0.00174137,1.478923769,4.002366953,-0.832982642
2,A,ambient,Nitzschia,34844,1367207,0.01168453,0.00614062,5.294185556,4.002366953,-0.162137494
2,A,ambient,Scenedesmus,53455,397919,0.017925664,0.001787195,2.896071688,4.002366953,-0.580128045
2,A,ambient,Pseudokirchneriella,71927,346903,0.024119872,0.001558068,2.269936589,4.002366953,-0.690203043
2,A,ambient,Synechococcus,2028110,190000000,0.680106672,0.853358324,6.549719547,4.002366953,0.251582487
2,A,ambient,Anabaena,654616,30149985,0.219518995,0.135414423,5.525364566,4.002366953,-0.146273139
