assay,CO2 of rising,CO2 in chambers ppm,Assay CO2,Competition code,Diatom,Chlorophyte,Cyanobacteri,species,competitor,Competition,Fct competition,group,comp.coef,comp.coef.species
1,560,360,ambient,8,Navicula,,,Navicula,Scenedesmus,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.09514098,-0.09514
1,560,360,ambient,8,,Scenedesmus,,Scenedesmus,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.095141
1,560,360,ambient,8,,,,NA,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,8,Navicula,,,Navicula,Scenedesmus,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.213925205,-0.21393
1,560,360,ambient,8,,Scenedesmus,,Scenedesmus,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.213925
1,560,360,ambient,8,,,,NA,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,8,Navicula,,,Navicula,Scenedesmus,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.168499918,-0.1685
1,560,360,ambient,8,,Scenedesmus,,Scenedesmus,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.1685
1,560,360,ambient,8,,,,NA,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,8,Navicula,,,Navicula,Scenedesmus,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.132773567,-0.13277
1,560,560,rising,8,,Scenedesmus,,Scenedesmus,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.132774
1,560,560,rising,8,,,,NA,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,8,Navicula,,,Navicula,Scenedesmus,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.094843528,-0.09484
1,560,560,rising,8,,Scenedesmus,,Scenedesmus,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.094844
1,560,560,rising,8,,,,NA,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,8,Navicula,,,Navicula,Scenedesmus,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.21220555,-0.21221
1,560,560,rising,8,,Scenedesmus,,Scenedesmus,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.212206
1,560,560,rising,8,,,,NA,,Navicula / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,9,Navicula,,,Navicula,Pseudokirchneriella,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.12041506,0.12042
1,560,360,ambient,9,,Pseudokirchneriella,,Pseudokirchneriella,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.120415
1,560,360,ambient,9,,,,NA,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,9,Navicula,,,Navicula,Pseudokirchneriella,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.171422133,0.17142
1,560,360,ambient,9,,Pseudokirchneriella,,Pseudokirchneriella,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.171422
1,560,360,ambient,9,,,,NA,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,9,Navicula,,,Navicula,Pseudokirchneriella,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.253412876,0.25341
1,560,360,ambient,9,,Pseudokirchneriella,,Pseudokirchneriella,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.253413
1,560,360,ambient,9,,,,NA,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,9,Navicula,,,Navicula,Pseudokirchneriella,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.196564704,0.19656
1,560,560,rising,9,,Pseudokirchneriella,,Pseudokirchneriella,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.196565
1,560,560,rising,9,,,,NA,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,9,Navicula,,,Navicula,Pseudokirchneriella,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.065693926,0.06569
1,560,560,rising,9,,Pseudokirchneriella,,Pseudokirchneriella,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.065694
1,560,560,rising,9,,,,NA,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,9,Navicula,,,Navicula,Pseudokirchneriella,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.175814502,0.17581
