line,CO2,species,initial counts,inoculum,initial concentration,final concentration,initial frequency,final frequency,growth,competition,
A,ambient,SCENEDESMUS,7027778,0.222825904,58698,8291667,0.43,0.69,7.142211224,0.168260282,
B,ambient,SCENEDESMUS,5125000,0.22276612,45660,4500000,0.35,0.51,6.622843572,0.109115344,
C,ambient,SCENEDESMUS,7416667,0.225902936,62657,6694444,0.41,0.67,6.739337547,0.181598528,
D,high,SCENEDESMUS,12375000,0.107440104,47767,9583333,0.33,0.59,7.648356327,0.156581807,-0.011678475
E,high,SCENEDESMUS,12750000,0.11808034,55265,10916667,0.42,0.55,7.625950885,0.076366053,-0.032749291
F,high,SCENEDESMUS,8333333,0.105618887,32317,9625000,0.30,0.55,8.218339053,0.135998655,-0.045599872
A,ambient,PSEUDOKICHNERELLA,9333333,0.198304482,77954,3770833,0.57,0.31,5.596108642,-0.168260282,
B,ambient,PSEUDOKICHNERELLA,9458333,0.22670385,84267,4250000,0.65,0.49,5.65634743,-0.109115344,
C,ambient,PSEUDOKICHNERELLA,10625000,0.200104928,89762,3250000,0.59,0.33,5.178192925,-0.181598528,
D,high,PSEUDOKICHNERELLA,25250000,0.086307498,97465,6666667,0.67,0.41,6.095939508,-0.156581807,0.011678475
E,high,PSEUDOKICHNERELLA,17916667,0.099588595,77660,8833333,0.58,0.45,6.829643332,-0.076366053,0.032749291
F,high,PSEUDOKICHNERELLA,19166667,0.089039409,74330,8000000,0.70,0.45,6.749918651,-0.135998655,0.045599872
,,,,,,,,,,,
