,period,date,Time,Line,assayCO2,Species,C02_chamber,CO2_airspace,CO2_media,pH,salinity,initial.temperature,final_temperature,regime,vessel
1,1,05-10-2010 10:00:00,0.75,A,ambient,Navicula,456,460,309,7.01,0.6,25,22.2,1,flask
2,1,05-10-2010 10:00:00,0.75,A,ambient,Nitzschia,460,560,266,7,0.6,25,22.5,1,flask
3,1,05-10-2010 10:00:00,0.75,A,ambient,Scenedesmus,530,492,264,7,0.6,25,22.2,1,flask
4,1,05-10-2010 10:00:00,0.75,A,ambient,Pseudokirchneriella,560,493,251,7,0.5,25,22.5,1,flask
5,1,05-10-2010 10:00:00,0.75,A,ambient,Synechococcus,549,500,300,7,0.6,25,22,1,flask
6,1,05-10-2010 10:00:00,0.75,A,ambient,Anabaena,548,466,274,6.99,0.6,25,21.8,1,flask
7,1,05-10-2010 10:00:00,0.75,D,high,Navicula,960,965,669,7.01,0.6,25,21.3,1,flask
8,1,05-10-2010 10:00:00,0.75,D,high,Nitzschia,1000,950,538,7,0.6,25,21.8,1,flask
9,1,05-10-2010 10:00:00,0.75,D,high,Scenedesmus,984,943,545,7,0.6,25,21.8,1,flask
10,1,05-10-2010 10:00:00,0.75,D,high,Pseudokirchneriella,849,916,491,7.01,0.6,25,21.9,1,flask
11,1,05-10-2010 10:00:00,0.75,D,high,Synechococcus,1010,1030,471,7.01,0.6,25,22.1,1,flask
12,1,05-10-2010 10:00:00,0.75,D,high,Anabaena,NA,938,484,7.01,0.6,25,22,1,flask
13,1,06-10-2010 12:00:00,1.83,A,ambient,Navicula,446,353,81,7.05,0.6,25,22.4,1,flask
14,1,06-10-2010 12:00:00,1.83,A,ambient,Nitzschia,447,240,20,7.06,0.6,25,21.8,1,flask
15,1,06-10-2010 12:00:00,1.83,A,ambient,Scenedesmus,449,300,21,7.06,0.6,25,22.6,1,flask
16,1,06-10-2010 12:00:00,1.83,A,ambient,Pseudokirchneriella,453,323,24,7.06,0.6,25,22.4,1,flask
17,1,06-10-2010 12:00:00,1.83,A,ambient,Synechococcus,458,455,15,7.08,0.6,25,22.5,1,flask
18,1,06-10-2010 12:00:00,1.83,A,ambient,Anabaena,466,305,21,7.05,0.6,25,22.2,1,flask
19,1,06-10-2010 12:00:00,1.83,D,high,Navicula,1000,708,256,7.08,0.6,25,21.7,1,flask
20,1,06-10-2010 12:00:00,1.83,D,high,Nitzschia,1009,679,116,7.09,0.6,25,22.4,1,flask
21,1,06-10-2010 12:00:00,1.83,D,high,Scenedesmus,960,690,95,7.08,0.6,25,22.4,1,flask
22,1,06-10-2010 12:00:00,1.83,D,high,Pseudokirchneriella,1012,581,183,7.06,0.6,25,22.5,1,flask
23,1,06-10-2010 12:00:00,1.83,D,high,Synechococcus,890,602,21,7.09,0.6,25,22.5,1,flask
24,1,06-10-2010 12:00:00,1.83,D,high,Anabaena,984,600,31,7,0.6,25,21.1,1,flask
25,1,07-10-2010 10:00:00,2.75,A,ambient,Navicula,449,295,31,7.08,0.6,25,22.8,1,flask
26,1,07-10-2010 10:00:00,2.75,A,ambient,Nitzschia,490,318,24,7.08,0.6,25,22.5,1,flask
27,1,07-10-2010 10:00:00,2.75,A,ambient,Scenedesmus,441,285,17,7.07,0.6,25,22.9,1,flask
28,1,07-10-2010 10:00:00,2.75,A,ambient,Pseudokirchneriella,451,339,18,7.07,0.6,25,22.4,1,flask
29,1,07-10-2010 10:00:00,2.75,A,ambient,Synechococcus,NA,340,17,7.1,0.6,25,22,1,flask
30,1,07-10-2010 10:00:00,2.75,A,ambient,Anabaena,NA,413,16,7.08,0.6,25,22.6,1,flask
31,1,07-10-2010 10:00:00,2.75,D,high,Navicula,1047,657,34,7.15,0.6,25,22.4,1,flask
32,1,07-10-2010 10:00:00,2.75,D,high,Nitzschia,988,635,36,7.12,0.6,25,22.7,1,flask
33,1,07-10-2010 10:00:00,2.75,D,high,Scenedesmus,949,534,28,7.1,0.5,25,22.7,1,flask
34,1,07-10-2010 10:00:00,2.75,D,high,Pseudokirchneriella,886,570,72,7.08,0.5,25,22.5,1,flask
35,1,07-10-2010 10:00:00,2.75,D,high,Synechococcus,NA,466,14,7.13,0.5,25,22.6,1,flask
36,1,07-10-2010 10:00:00,2.75,D,high,Anabaena,NA,500,26,7.18,0.5,25,22.3,1,flask
37,1,08-10-2010 10:00:00,3.75,A,ambient,Navicula,475,308,22,7.14,0.5,25,21.8,1,flask
38,1,08-10-2010 10:00:00,3.75,A,ambient,Nitzschia,470,230,19,7.12,0.6,25,21.7,1,flask
39,1,08-10-2010 10:00:00,3.75,A,ambient,Scenedesmus,NA,312,17,7.16,0.6,25,22.7,1,flask
40,1,08-10-2010 10:00:00,3.75,A,ambient,Pseudokirchneriella,NA,322,16,7.15,0.6,25,22.1,1,flask
41,1,08-10-2010 10:00:00,3.75,A,ambient,Synechococcus,NA,223,10,7.08,0.5,25,22.3,1,flask
42,1,08-10-2010 10:00:00,3.75,A,ambient,Anabaena,NA,263,10,7.14,0.6,25,22.2,1,flask
43,1,08-10-2010 10:00:00,3.75,D,high,Navicula,924,555,38,7.26,0.6,25,22.3,1,flask
44,1,08-10-2010 10:00:00,3.75,D,high,Nitzschia,964,612,27,7.22,0.5,25,22.2,1,flask
45,1,08-10-2010 10:00:00,3.75,D,high,Scenedesmus,NA,525,22,7.25,0.5,25,21.8,1,flask
46,1,08-10-2010 10:00:00,3.75,D,high,Pseudokirchneriella,NA,587,31,7.2,0.5,25,22.2,1,flask
47,1,08-10-2010 10:00:00,3.75,D,high,Synechococcus,NA,608,17,7.24,0.5,25,22,1,flask
48,1,08-10-2010 10:00:00,3.75,D,high,Anabaena,NA,556,17,7.29,0.5,25,22.3,1,flask
49,2,10-14-2010 15:00:00,1.21,B,ambient,Navicula,438,388,201,6.83,0.5,25,23.2,1,flask
50,2,10-14-2010 15:00:00,1.21,B,ambient,Nitzschia,442,409,104,6.83,0.5,25,23.3,1,flask
51,2,10-14-2010 15:00:00,1.21,B,ambient,Scenedesmus,449,418,196,6.82,0.5,25,22.9,1,flask
52,2,10-14-2010 15:00:00,1.21,B,ambient,Pseudokirchneriella,447,390,160,6.84,0.5,25,23.1,1,flask
53,2,10-14-2010 15:00:00,1.21,B,ambient,Synechococcus,447,381,165,6.83,0.5,25,22.9,1,flask
54,2,10-14-2010 15:00:00,1.21,B,ambient,Anabaena,466,394,164,6.84,0.5,25,22.9,1,flask
55,2,10-14-2010 15:00:00,1.21,E,high,Navicula,803,881,433,6.82,0.5,25,23.2,1,flask
56,2,10-14-2010 15:00:00,1.21,E,high,Nitzschia,924,833,422,6.82,0.5,25,22.9,1,flask
57,2,10-14-2010 15:00:00,1.21,E,high,Scenedesmus,999,842,306,6.84,0.5,25,23.4,1,flask
58,2,10-14-2010 15:00:00,1.21,E,high,Pseudokirchneriella,915,855,411,6.81,0.5,25,23,1,flask
59,2,10-14-2010 15:00:00,1.21,E,high,Synechococcus,80,887,399,6.82,0.5,25,22.7,1,flask
60,2,10-14-2010 15:00:00,1.21,E,high,Anabaena,970,867,459,6.83,0.5,25,22.8,1,flask
61,2,10-15-2010 10:00:00,2,B,ambient,Navicula,454,299,103,6.86,0.5,25,22.3,1,flask
62,2,10-15-2010 10:00:00,2,B,ambient,Nitzschia,470,311,26,6.86,0.5,25,23,1,flask
63,2,10-15-2010 10:00:00,2,B,ambient,Scenedesmus,461,323,103,6.85,0.5,25,23,1,flask
64,2,10-15-2010 10:00:00,2,B,ambient,Pseudokirchneriella,456,230,30,6.87,0.5,25,22.4,1,flask
65,2,10-15-2010 10:00:00,2,B,ambient,Synechococcus,434,236,38,6.86,0.5,25,22.8,1,flask
66,2,10-15-2010 10:00:00,2,B,ambient,Anabaena,436,289,63,6.83,0.5,25,22.5,1,flask
67,2,10-15-2010 10:00:00,2,E,high,Navicula,940,559,80,7.07,0.7,25,22.5,1,flask
68,2,10-15-2010 10:00:00,2,E,high,Nitzschia,1012,650,80,6.88,0.5,25,22.7,1,flask
69,2,10-15-2010 10:00:00,2,E,high,Scenedesmus,889,532,105,6.87,0.5,25,22.6,1,flask
70,2,10-15-2010 10:00:00,2,E,high,Pseudokirchneriella,994,646,234,6.86,0.5,25,23,1,flask
71,2,10-15-2010 10:00:00,2,E,high,Synechococcus,816,530,88,6.88,0.5,25,23.3,1,flask
72,2,10-15-2010 10:00:00,2,E,high,Anabaena,972,765,201,6.87,0.5,25,22.5,1,flask
73,2,10-16-2010 12:00:00,3.08,B,ambient,Navicula,458,298,33,6.89,0.5,25,22.8,1,flask
74,2,10-16-2010 12:00:00,3.08,B,ambient,Nitzschia,450,288,26,6.92,0.5,25,22.8,1,flask
75,2,10-16-2010 12:00:00,3.08,B,ambient,Scenedesmus,460,477,39,6.86,0.5,25,22.9,1,flask
76,2,10-16-2010 12:00:00,3.08,B,ambient,Pseudokirchneriella,451,372,19,6.93,0.5,25,23,1,flask
77,2,10-16-2010 12:00:00,3.08,B,ambient,Synechococcus,458,235,14,6.94,0.5,25,23.2,1,flask
78,2,10-16-2010 12:00:00,3.08,B,ambient,Anabaena,452,357,23,6.92,0.5,25,22.5,1,flask
79,2,10-16-2010 12:00:00,3.08,E,high,Navicula,928,515,33,6.98,0.7,25,22.4,1,flask
80,2,10-16-2010 12:00:00,3.08,E,high,Nitzschia,961,506,48,7,0.5,25,23,1,flask
81,2,10-16-2010 12:00:00,3.08,E,high,Scenedesmus,970,485,27,7.04,0.5,25,22.9,1,flask
82,2,10-16-2010 12:00:00,3.08,E,high,Pseudokirchneriella,984,767,50,6.95,0.5,25,23.1,1,flask
83,2,10-16-2010 12:00:00,3.08,E,high,Synechococcus,873,528,20,7.01,0.5,25,23,1,flask
84,2,10-16-2010 12:00:00,3.08,E,high,Anabaena,982,668,18,7.03,0.5,25,22.5,1,flask
85,2,10-17-2010 11:00:00,4.04,B,ambient,Navicula,480,359,37,6.96,0.5,25,23,1,flask
86,2,10-17-2010 11:00:00,4.04,B,ambient,Nitzschia,458,310,28,6.95,0.5,25,22.8,1,flask
87,2,10-17-2010 11:00:00,4.04,B,ambient,Scenedesmus,448,359,28,6.91,0.5,25,22.9,1,flask
88,2,10-17-2010 11:00:00,4.04,B,ambient,Pseudokirchneriella,466,443,22,7,0.5,25,23.4,1,flask
89,2,10-17-2010 11:00:00,4.04,B,ambient,Synechococcus,442,230,15,7,0.5,25,23.1,1,flask
90,2,10-17-2010 11:00:00,4.04,B,ambient,Anabaena,451,330,21,7.01,0.5,25,23.2,1,flask
91,2,10-17-2010 11:00:00,4.04,E,high,Navicula,987,704,39,7.04,0.7,25,22.6,1,flask
92,2,10-17-2010 11:00:00,4.04,E,high,Nitzschia,858,434,38,7.07,0.5,25,22.9,1,flask
93,2,10-17-2010 11:00:00,4.04,E,high,Scenedesmus,1013,459,24,7.1,0.5,25,22.9,1,flask
94,2,10-17-2010 11:00:00,4.04,E,high,Pseudokirchneriella,817,469,33,7.05,0.5,25,23,1,flask
95,2,10-17-2010 11:00:00,4.04,E,high,Synechococcus,1028,456,16,7.1,0.5,25,22.9,1,flask
96,2,10-17-2010 11:00:00,4.04,E,high,Anabaena,1008,632,27,7.14,0.5,25,23,1,flask
97,2,10-18-2010 13:00:00,5.13,B,ambient,Navicula,443,281,49,7.01,0.5,25,22.7,1,flask
98,2,10-18-2010 13:00:00,5.13,B,ambient,Nitzschia,440,315,31,7.01,0.5,25,22.6,1,flask
99,2,10-18-2010 13:00:00,5.13,B,ambient,Scenedesmus,440,336,34,6.96,0.5,25,22.6,1,flask
100,2,10-18-2010 13:00:00,5.13,B,ambient,Pseudokirchneriella,443,297,20,7.03,0.5,25,22.3,1,flask
101,2,10-18-2010 13:00:00,5.13,B,ambient,Synechococcus,447,260,14,7.03,0.5,25,21.9,1,flask
102,2,10-18-2010 13:00:00,5.13,B,ambient,Anabaena,443,398,9,6.99,0.5,25,22.1,1,flask
103,2,10-18-2010 13:00:00,5.13,E,high,Navicula,994,410,46,7.1,0.4,25,23.1,1,flask
104,2,10-18-2010 13:00:00,5.13,E,high,Nitzschia,815,548,41,7.06,0.5,25,22.2,1,flask
105,2,10-18-2010 13:00:00,5.13,E,high,Scenedesmus,997,535,28,7.16,0.5,25,22.5,1,flask
106,2,10-18-2010 13:00:00,5.13,E,high,Pseudokirchneriella,1024,495,36,7.14,0.5,25,22.2,1,flask
107,2,10-18-2010 13:00:00,5.13,E,high,Synechococcus,1009,426,34,7.04,0.5,25,22.1,1,flask
108,2,10-18-2010 13:00:00,5.13,E,high,Anabaena,856,478,22,7.14,0.5,25,22.1,1,flask
109,3,10-19-2010 11:00:00,0.92,C,ambient,Navicula,430,423,216,7.01,0.7,25,22.6,1,flask
110,3,10-19-2010 11:00:00,0.92,C,ambient,Nitzschia,443,437,211,7.01,0.7,25,232.3,1,flask
111,3,10-19-2010 11:00:00,0.92,C,ambient,Scenedesmus,441,396,172,7.01,0.7,25,22.7,1,flask
112,3,10-19-2010 11:00:00,0.92,C,ambient,Pseudokirchneriella,446,421,217,7,0.7,25,22.9,1,flask
