,Line,Species,ABS,time,regime,media,Time,CO2history,assayCO2,transplant,replicate,type,days,generations
1,A,Navicula,0.1334,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
2,B,Navicula,0.1343,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
3,C,Navicula,0.1412,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
4,D,Navicula,0.1274,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
5,E,Navicula,0.1341,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
6,F,Navicula,0.1286,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
7,A,Nitzschia,0.1286,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
8,B,Nitzschia,0.1341,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
9,C,Nitzschia,0.1372,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
10,D,Nitzschia,0.1333,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
11,E,Nitzschia,0.136,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
12,F,Nitzschia,0.1306,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
13,A,Scenedesmus,0.1156,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
14,B,Scenedesmus,0.1329,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
15,C,Scenedesmus,0.151,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
16,D,Scenedesmus,0.1293,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
17,E,Scenedesmus,0.1323,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
18,F,Scenedesmus,0.1267,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
19,A,Pseudokirchneriella,0.1358,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
20,B,Pseudokirchneriella,0.1373,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
21,C,Pseudokirchneriella,0.1291,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
22,D,Pseudokirchneriella,0.1276,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
23,E,Pseudokirchneriella,0.1306,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
24,F,Pseudokirchneriella,0.1258,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
25,A,Synechococcus,0.1386,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
26,B,Synechococcus,0.1363,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
27,C,Synechococcus,0.13,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
28,D,Synechococcus,0.1184,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
29,E,Synechococcus,0.1286,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
30,F,Synechococcus,0.1243,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
31,A,Anabaena,0.1376,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
32,B,Anabaena,0.1338,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
33,C,Anabaena,0.1199,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
34,D,Anabaena,0.1208,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
35,E,Anabaena,0.1164,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
36,F,Anabaena,0.1193,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
37,A,Chlamydomonas,0.1282,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
38,B,Chlamydomonas,0.1274,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
39,C,Chlamydomonas,0.1228,02-27-2012 18:12:00,2,liquid,0,ambient,ambient,8,NA,microplate,413,783.98
40,D,Chlamydomonas,0.1196,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
