Reference,Experiment Type,Marine/Fresh,Group,Species,Low,Elevated,Type of response,ResponseLow,ResponseAmbientCO2,ResponseElevatedCO2,Secondary nutrient,ResponseElevatedSecondary,ResponseIntereaction,Significance of CO2,HalfSaturationCO2,half saturation unit,HalfSaturationHCO3,CO2 compensation point,compensation point unit,Column1,Carbon Concentration Factor,RubisCO specifity factor,Notes
"Fu, F.-X., Zhang, Y., Warner, M. E., Feng, Y., Sun, J. & Hutchins, D. A. 2008 A comparison of future increased CO2 and temperature effects on sympatric Heterosigma akashiwo and Prorocentrum minimum. Harmful Algae 7, 76_90. ",Lab,marine,dinoflagellate,Prorocentrum minimum,,750,growth rate,,0.54,0.63,,,,Yes,,,,,,,,,Synergy with temperature available
"Fu, F.-X., Zhang, Y., Warner, M. E., Feng, Y., Sun, J. & Hutchins, D. A. 2008 A comparison of future increased CO2 and temperature effects on sympatric Heterosigma akashiwo and Prorocentrum minimum. Harmful Algae 7, 76_90. ",Lab,marine,raphidophyte,Heterosigma akashiwo,,750,growth rate,,0.56,0.76,,,,No,,,,,,,,,Synergy with temperature available
"Fu, F. X., Warner, M. E., Zhang, Y., Feng, Y. & Hutchins, D. A. 2007 Effects of increased temperature and CO2 on photosynthesis, growth, and elemental ratios in marine Synechococcus and Prochlorococcus (cyanobacteria). Journal of Phycology 43, 485_496. ",Lab,marine,cyanobacteria,Synechococcus sp.,,750,growth rate,,0.3,0.4,,,,No,,,,,,,,,
"Fu, F. X., Warner, M. E., Zhang, Y., Feng, Y. & Hutchins, D. A. 2007 Effects of increased temperature and CO2 on photosynthesis, growth, and elemental ratios in marine Synechococcus and Prochlorococcus (cyanobacteria). Journal of Phycology 43, 485_496. ",Lab,marine,cyanobacteria,Prochlorococcus sp.,,750,growth rate,,0.37,0.38,,,,No,,,,,,,,,
"Levitan, O., Rosenberg, G., Setlik, I., Setlikova, E., Grigel, J., Klepetar, J., Prasil, O. & Berman-Frank, I. 2007 Elevated CO2 enhances nitrogen fixation and growth in the marine cyanobacterium Trichodesmium. Global Change Biology 13, 531_538. ",Lab,marine,cyanobacteria,Trichodesmium,,900,growth rate,,0.17,0.26,,,,Yes,,,,,,,,,
"Hutchins, D. A., Fu, F., Zhang, Y., Warner, M. E., Feng, Y., Portune, K., Bernhardt, P. W. & Mulholland, M. R. 2007 CO~ 2 control of Trichodesmium N~ 2 fixation, photosynthesis, growth rates, and elemental ratios: Implications for past, present, and future ocean biogeochemistry. Limnology and Oceanography 52, 1293. ",Lab,marine,cyanobacteria,Trichodesmium,,750,growth rate,,0.29,0.36,,,,Yes,,,,,,,,,
"Kim, J. M., Lee, K., Shin, K., Kang, J. H., Lee, H. W., Kim, M., Jang, P. G. & Jang, M. C. 2006 The effect of seawater CO 2 concentration on growth of a natural phytoplankton assemblage in a controlled mesocosm experiment. Limnol. Oceanogr 51, 1629_1636. ",within a natural assemblage,marine,diatom,Skeletonema costatum,,750,growth rate,,0.43,0.87,,,,Yes,,,,,,,,,
"Kim, J. M., Lee, K., Shin, K., Kang, J. H., Lee, H. W., Kim, M., Jang, P. G. & Jang, M. C. 2006 The effect of seawater CO 2 concentration on growth of a natural phytoplankton assemblage in a controlled mesocosm experiment. Limnol. Oceanogr 51, 1629_1636. ",within a natural assemblage,marine,diatom,Nitzschia spp.,,750,growth rate,,0.26,0.22,,,,No,,,,,,,,,
"Engel, A. et al. 2005 Testing the direct effect of CO2 concentration on a bloom of the coccolithophorid Emiliania huxleyi in mesocosm experiments. Limnology and Oceanography 50, 493_507. ",within a natural assemblage,marine,coccolithophore,Emiliania huxleyi,,710,growth rate,,0.47,0.43,,,,No,,,,,,,,,
"Wu, Z., Zeng, B., Li, R. & Song, L. 2012 Combined effects of carbon and phosphorus levels on the invasive cyanobacterium, Cylindrospermopsis raciborskii. Phycologia 51, 144_150. (doi:10.2216/10-87.1)",Lab,freshwater,cyanobacteria,Cylindrospermopsis raciborskii ,,1000,growth rate,,0.11,0.16,P,0.24,0.31,Yes,,,,,,,,,
