Reference,Source,Element,Process,Sink,Flux,Flux Unit,Flux converted,Flux converted unit
"Canfield, D. E., Glazer, A. N. & Falkowski, P. G. 2010 The evolution and future of Earthês nitrogen cycle. Science (New York, N.Y.) 330, 192_6. (doi:10.1126/science.1186120)",Atmosphere,N,Anthropogenic,Land,14.8,x 10^12 mol year^-1,207.29916,x 10^12 g year^-1
"Canfield, D. E., Glazer, A. N. & Falkowski, P. G. 2010 The evolution and future of Earthês nitrogen cycle. Science (New York, N.Y.) 330, 192_6. (doi:10.1126/science.1186120)",Atmosphere,N,Natural,Land,0.8,x 10^12 mol year^-1,11.20536,x 10^12 g year^-1
"Canfield, D. E., Glazer, A. N. & Falkowski, P. G. 2010 The evolution and future of Earthês nitrogen cycle. Science (New York, N.Y.) 330, 192_6. (doi:10.1126/science.1186120)",Land,N,Natural,Freshwater,4.9,x 10^12 mol year^-1,68.63283,x 10^12 g year^-1
"Canfield, D. E., Glazer, A. N. & Falkowski, P. G. 2010 The evolution and future of Earthês nitrogen cycle. Science (New York, N.Y.) 330, 192_6. (doi:10.1126/science.1186120)",Freshwater,N,Natural,Oceans,4.9,x 10^12 mol year^-1,68.63283,x 10^12 g year^-1
"Canfield, D. E., Glazer, A. N. & Falkowski, P. G. 2010 The evolution and future of Earthês nitrogen cycle. Science (New York, N.Y.) 330, 192_6. (doi:10.1126/science.1186120)",Oceans,N,Natural,Atmosphere,7,x 10^12 mol year^-1,98.0469,x 10^12 g year^-1
"Rabouille, C., Mackenzie, F. & Ver, L. 2001 Influence of the human perturbation on carbon, nitrogen, and oxygen biogeochemical cycles in the global coastal Oceans. Geochimica et Cosmochimica Acta 65, 3615_3641. ",Freshwater,C,Natural,Oceans,34,x 10^12 mol year^-1,476.2278,x 10^12 g year^-1
"Rabouille, C., Mackenzie, F. & Ver, L. 2001 Influence of the human perturbation on carbon, nitrogen, and oxygen biogeochemical cycles in the global coastal Oceans. Geochimica et Cosmochimica Acta 65, 3615_3641. ",Freshwater,N,Natural,Oceans,2.5,x 10^12 mol year^-1,35.01675,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Atmosphere,N,Anthropogenic,Land,221,Tg year^-1,221,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Atmosphere,N,Natural,Land,42,Tg year^-1,42,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Atmosphere,N,Anthropogenic,Oceans,40,Tg year^-1,40,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Land,N,Anthropogenic,Freshwater,50,Tg year^-1,50,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Land,N,Natural,Freshwater,30,Tg year^-1,30,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Freshwater,N,Anthropogenic,Atmosphere,20,Tg year^-1,20,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Freshwater,N,Natural,Atmosphere,170,Tg year^-1,170,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Freshwater,N,Anthropogenic,Oceans,50,Tg year^-1,50,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Freshwater,N,Natural,Oceans,30,Tg year^-1,30,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Oceans,N,Natural,Atmosphere,234,Tg year^-1,234,x 10^12 g year^-1
"Gruber, N. & Galloway, J. N. 2008 An Earth-system perspective of the global nitrogen cycle. Nature 451, 293_6. (doi:10.1038/nature06592)",Mineral reserves,N,Anthropogenic,Atmosphere,25,Tg year^-1,25,x 10^12 g year^-1
"Fowler, D. et al. 2013 The global nitrogen cycle in the twenty-first century The global nitrogen cycle in the twenty- first century. ",Atmosphere,N,Anthropogenic,Land,180,Tg year^-1,180,x 10^12 g year^-1
"Fowler, D. et al. 2013 The global nitrogen cycle in the twenty-first century The global nitrogen cycle in the twenty- first century. ",Atmosphere,N,Natural,Land,55,Tg year^-1,55,x 10^12 g year^-1
"Fowler, D. et al. 2013 The global nitrogen cycle in the twenty-first century The global nitrogen cycle in the twenty- first century. ",Land,N,Natural,Freshwater,80,Tg year^-1,80,x 10^12 g year^-1
"Fowler, D. et al. 2013 The global nitrogen cycle in the twenty-first century The global nitrogen cycle in the twenty- first century. ",Freshwater,N,Natural,Oceans,80,Tg year^-1,80,x 10^12 g year^-1
"Fowler, D. et al. 2013 The global nitrogen cycle in the twenty-first century The global nitrogen cycle in the twenty- first century. ",Oceans,N,Natural,Atmosphere,14.5,Tg year^-1,14.5,x 10^12 g year^-1
"Fowler, D. et al. 2013 The global nitrogen cycle in the twenty-first century The global nitrogen cycle in the twenty- first century. ",Oceans,N,Anthropogenic,Atmosphere,3,Tg year^-1,3,x 10^12 g year^-1
"Cordell, D., Drangert, J.-O. & White, S. 2009 The story of phosphorus: Global food security and food for thought. Global Environmental Change 19, 292_305. (doi:10.1016/j.gloenvcha.2008.10.009)",Mineral reserves,P,Anthropogenic,Land,17.5,Mt year^-1,17.5,x 10^12 g year^-1
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Mineral reserves,P,Anthropogenic,Land,23.5,Tg year^-1,23.5,x 10^12 g year^-1
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Rock,P,Natural,Land,15,Tg year^-1,15,x 10^12 g year^-1
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Land,P,Natural,Atmosphere,1,Tg year^-1,1,x 10^12 g year^-1
