"","date","sampleID","CO2","input","pH","cond","temp","DO","salt","CO2_raw","air","CO2_calc","experiment","fertilizer","treatment","experiment.fert","sampleID.exp"
"1",2012-07-24,"1","Ambient CO2","Did not receive input",8.525,81.1,23.625,9.0375,0,42.6666666666667,381,92.5478072462774,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","1 Experiment 1"
"2",2012-07-24,"2","High CO2","Received input",8.53,80.575,24.225,8.605,0,73.3333333333333,381,159.818527830638,"Experiment 1","Not fertilized","High CO2 Not fertilized Experiment 1","Experiment 1","2 Experiment 1"
"3",2012-07-24,"3","Ambient CO2","Received input",8.6825,81.225,24.15,7.75,0,43.6666666666667,381,95.2101759121339,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","3 Experiment 1"
"4",2012-07-24,"4","High CO2","Did not receive input",8.595,81.325,23.625,8.6325,0,64.3333333333333,381,139.342563742916,"Experiment 1","Not fertilized","High CO2 Not fertilized Experiment 1","Experiment 1","4 Experiment 1"
"5",2012-07-24,"5","Ambient CO2","Received input",8.595,81.65,23.525,8.79,0,56.3333333333333,381,121.727373540326,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","5 Experiment 1"
"6",2012-07-24,"6","High CO2","Did not receive input",8.8425,81.05,23.525,8.445,0,33,381,71.3876683597228,"Experiment 1","Not fertilized","High CO2 Not fertilized Experiment 1","Experiment 1","6 Experiment 1"
"7",2012-07-24,"7","Ambient CO2","Did not receive input",8.9275,81.2,23.425,8.4475,0,25,381,53.9880209784477,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","7 Experiment 1"
"8",2012-07-24,"8","High CO2","Received input",8.9375,81.1,23.7,8.4125,0,24.3333333333333,381,52.7620181685453,"Experiment 1","Not fertilized","High CO2 Not fertilized Experiment 1","Experiment 1","8 Experiment 1"
"9",2012-07-24,"lake","Lake","Lake",8.8875,81.875,24.2125,7.30625,0,17.5,381,38.3976480775486,"Experiment 1","Not fertilized","Lake Not fertilized Experiment 1","Experiment 1","lake Experiment 1"
"10",2012-07-25,"1","Ambient CO2","Did not receive input",8.145,NA,24.6,NA,0,NA,NA,NA,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","1 Experiment 1"
"11",2012-07-25,"2","High CO2","Received input",NA,NA,NA,NA,NA,NA,NA,NA,"Experiment 1","Not fertilized","High CO2 Not fertilized Experiment 1","Experiment 1","2 Experiment 1"
"12",2012-07-25,"3","Ambient CO2","Received input",8.705,NA,24,NA,0,NA,NA,NA,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","3 Experiment 1"
"13",2012-07-25,"4","High CO2","Did not receive input",8.01,NA,24.9,NA,0,NA,NA,NA,"Experiment 1","Not fertilized","High CO2 Not fertilized Experiment 1","Experiment 1","4 Experiment 1"
"14",2012-07-25,"5","Ambient CO2","Received input",8.515,NA,24.35,NA,0,NA,NA,NA,"Experiment 1","Not fertilized","Ambient CO2 Not fertilized Experiment 1","Experiment 1","5 Experiment 1"
