"","x"
"1","Fu, F.-X., Zhang, Y., Warner, M. E., Feng, Y., Sun, J. & Hutchins, D. A. 2008 A comparison of future increased CO2 and temperature effects on sympatric Heterosigma akashiwo and Prorocentrum minimum. Harmful Algae 7, 76_90. "
"2","Fu, F. X., Warner, M. E., Zhang, Y., Feng, Y. & Hutchins, D. A. 2007 Effects of increased temperature and CO2 on photosynthesis, growth, and elemental ratios in marine Synechococcus and Prochlorococcus (cyanobacteria). Journal of Phycology 43, 485_496. "
"3","Levitan, O., Rosenberg, G., Setlik, I., Setlikova, E., Grigel, J., Klepetar, J., Prasil, O. & Berman-Frank, I. 2007 Elevated CO2 enhances nitrogen fixation and growth in the marine cyanobacterium Trichodesmium. Global Change Biology 13, 531_538. "
"4","Hutchins, D. A., Fu, F., Zhang, Y., Warner, M. E., Feng, Y., Portune, K., Bernhardt, P. W. & Mulholland, M. R. 2007 CO~ 2 control of Trichodesmium N~ 2 fixation, photosynthesis, growth rates, and elemental ratios: Implications for past, present, and future ocean biogeochemistry. Limnology and Oceanography 52, 1293. "
"5","Kim, J. M., Lee, K., Shin, K., Kang, J. H., Lee, H. W., Kim, M., Jang, P. G. & Jang, M. C. 2006 The effect of seawater CO 2 concentration on growth of a natural phytoplankton assemblage in a controlled mesocosm experiment. Limnol. Oceanogr 51, 1629_1636. "
"6","Engel, A. et al. 2005 Testing the direct effect of CO2 concentration on a bloom of the coccolithophorid Emiliania huxleyi in mesocosm experiments. Limnology and Oceanography 50, 493_507. "
"7","Wu, Z., Zeng, B., Li, R. & Song, L. 2012 Combined effects of carbon and phosphorus levels on the invasive cyanobacterium, Cylindrospermopsis raciborskii. Phycologia 51, 144_150. (doi:10.2216/10-87.1)"
"8","de Castro Ara“jo, S. & Garcia, V. M. T. 2005 Growth and biochemical composition of the diatom Chaetoceros cf. wighamii brightwell under different temperature, salinity and carbon dioxide levels. I. Protein, carbohydrates and lipids. Aquaculture 246, 405_412. (doi:10.1016/j.aquaculture.2005.02.051)"
"9","Gordillo, F. J. L., Jim, C., Figueroa, L. & Niell, F. X. 1999 Effects of increased atmospheric CO 2 and N supply on photosynthesis , growth and cell composition of the cyanobacterium Spirulina platensis ( Arthrospira ). 189305, 461_469. "
"10","Li, G. & Campbell, D. a 2013 Rising CO2 interacts with growth light and growth rate to alter photosystem II photoinactivation of the coastal diatom Thalassiosira pseudonana. PloS one 8, e55562. (doi:10.1371/journal.pone.0055562)"
"11","King, A. L., Sa_udo-Wilhelmy, S. a, Leblanc, K., Hutchins, D. a & Fu, F. 2011 CO2 and vitamin B12 interactions determine bioactive trace metal requirements of a subarctic Pacific diatom. The ISME journal 5, 1388_96. (doi:10.1038/ismej.2010.211)"
"12","Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)"
"13","Lohbeck, K. T., Riebesell, U. & Reusch, T. B. H. 2012 Adaptive evolution of a key phytoplankton species to ocean acidification. Nature Geoscience 5, 346_351. (doi:10.1038/ngeo1441)"
"14","Collins, S. S. & Bell, G. 2004 Phenotypic consequences of 1,000 generations of selection at elevated CO2 in a green alga. Nature 431, 566_569. (doi:10.1038/nature02945)"
"15","Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. "
"16","Riebesell, U., Wolf-Gladrow, D. a. & Smetacek, V. 1993 Carbon dioxide limitation of marine phytoplankton growth rates. Nature 361, 249_251. (doi:10.1038/361249a0)"
"17","Wu, Y., Gao, K. & Riebesell, U. 2010 CO2-induced seawater acidification affects physiological performance of the marine diatom Phaeodactylum tricornutum. Biogeosciences 7, 2915_2923. (doi:10.5194/bg-7-2915-2010)"
"18","Iglesias-Rodriguez, M. D. et al. 2008 Phytoplankton calcification in a high-CO2 world. Science (New York, N.Y.) 320, 336_40. (doi:10.1126/science.1154122)"
"19","Chen, S. & Gao, K. 2011 Solar ultraviolet radiation and CO2-induced ocean acidification interacts to influence the photosynthetic performance of the red tide alga Phaeocystis globosa (Prymnesiophyceae). Hydrobiologia 675, 105_117. (doi:10.1007/s10750-011-0807-0)"
