name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0.264007040187738,0.342298288508557,0,0,0,0,0,0,0,0,0,50.3661146783823,1.20244431302977
Burkholderia,0,0,0.097624471200781,0,0.237404378791876,0.0700967334922193,0.0686813186813187,6.90989496959646,3.36479277800575,17.5478430100551,5.39747726606043,6.11246943765281,9.1010101010101,19.7628845776994,0,100,42.1822119940436,94.7057433230915,0.88792092477802,83.5735356089338,0,0,0
Paenibacillus,0,0,1.33420110641067,0.851236319416295,0.580321814824585,0.406561054254872,1.42268445839874,0,0.820681165367255,0.778462536490431,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,0,0.325414904002603,0,0,0.0420580400953316,0.098116169544741,0,0,56.8277651638015,0,53.4474327628362,0,0,0,0,0,0,0,0,0,0.0112650670271488,0
Pseudomonas,0.199181739879414,0,78.4900748454279,81.9618970409404,98.0480084410446,79.4336183933829,79.3956043956044,30.154781647319,39.023389413213,5.22218618228998,6.01349369316515,4.15647921760391,76.1111111111111,0.293944738389183,0,0,0,0,71.2012062321997,0.851243152128108,0,0.0337952010814464,3.86359156317761
Xanthomonas,0,0,0,0,0,0,0,0,0.205170291341814,0.129743756081739,0,0,0,0,0,0,0,0,0,0,0,32.8489354511659,0.019712201852947
Synechococcus,0,34.1535698248765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788554691900417,0.275970825941258
Staphylococcus,0,0,0,0,0,0,0.0490580847723705,0,0.205170291341814,0.48653908530652,0.264007040187738,0,0,0,0,0,0,0,0,0,0,0,0
Aphanocapsa,0,2.1823080377189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146445871352935,0.433668440764833
Chryseobacterium,0,0,0.260331923202083,0,0,9.86962007570447,0.117739403453689,0,0.287238407878539,0,0.0880023467292461,0.244498777506112,0,0,0,0,0,0,0,0,0,0,0
Achromobacter,0,0,0,0,0,0,0,0.66334991708126,0.246204349610176,0,0.3813435024934,0,0,0.930825004899079,0,0,0,0,0.485843524878539,0,0,0,0
Alcaligenes,0.0053832902670112,0,0,0,0,0,0,0,0,0,0.0586682311528307,0,0,0.0783852635704488,0,0,0,0,0.0335064499916234,0,0,0.168976005407232,0
Halomicronema,0,61.275258194881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilia,0,0,1.04132769280833,0.0810701256586948,0.0527565286204168,0.252348240571989,0.0196232339089482,2.57048092868988,1.88756668034469,0.0324359390204346,3.28542094455852,0,0,1.72447579854987,10.8374384236453,0,0,0,0,0,0,0,0
Pedobacter,51.0658914728682,0.0359227660529861,0.292873413602343,0,0.290160907412292,0,0,2.04532891100055,0.123102174805088,0,0.0880023467292461,0,0,0,0,0,0,0,0,0,0,0,0
Dyella,0,0,0,0,0.0263782643102084,0,0,6.30182421227197,1.80549856380796,0.42166720726565,8.09621589909064,1.12469437652812,9.38383838383838,36.7920830883794,0,0,33.166373358603,0,0,0,0,0,0
Delftia,0,0,0,0,0,0.0140193466984439,0,0,0,7.03859876743432,0,22.9339853300734,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium,0,0,0,13.1603837319281,0,3.00014019346698,13.1083202511774,0,0.369306524415265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,0.246204349610176,0.551410963347389,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia,0,0,15.0667100553205,0.581002567220646,0.395673964653126,0.518715827842423,0.971350078492936,48.6733001658375,35.0430857611818,1.00551410963347,62.8336755646817,0,0,38.1834215167548,80.9852216748769,0,0,0,27.2072373931982,0,0,0,0
Acetobacter,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microvirgula,0,0,0,0,0,0.210290200476658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus,0,0,0,0,0,0.210290200476658,0,0,0.45137464095199,0,0.322675271340569,0.0488997555012225,0,0,0,0,0,0,0,0,0,0,0
Duganella,0,0,0,0.256722064585867,0,0.757044721715968,0.38265306122449,0,0.533442757488716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas,0,0,0,0.0270233752195649,0,0.126174120285995,0.0196232339089482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquitalea,0,0,0,0,0,0.280386933968877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodanobacter,0,0,0,0,0,0,0,0,0,0.0648718780408693,0.205338809034908,0,0,0,0,0,0.21659672397455,0,0,0,0,0,0
Herbaspirillum,0,0,0,0.0270233752195649,0,1.9486891910837,0.0784929356357928,0,0.164136233073451,0,0,0,0,0,5.8128078817734,0,0,0,0,0.109565950273915,0,0,0
Streptococcus,0,0,0,0,0,0,0.0196232339089482,0,0.943783340172343,0.356795329224781,0.3813435024934,0,0,0,0,0,0,0,0,0,0,0,0
Pectobacterium,0,0,0.130165961601041,0,0,0.0140193466984439,0,0.0276395798783858,0.205170291341814,0,0.0293341155764154,0,0,0.00979815794630609,0.0123152709359606,0,0,0,0,0,0,0,0
Curvibacter,0,0,0,0.189163626536954,0,0.0280386933968877,0.255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geitlerinema,0,0.601706331387517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123323570217358,0,0
Aminomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Methylophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225301340542976,0
Citrobacter,0,0,0,0,0,0.224309547175102,0,0,0,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoscillatoria,0,0.00898069151324652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter,0,0,0.227790432801822,0,0,0.0140193466984439,0,0.0829187396351575,0.0410340582683627,0,0,0,0,0.0195963158926122,0.123152709359606,0,0,0,0,0,0,0,0
Buttiauxella,0,0,0.227790432801822,0,0,0,0.0098116169544741,0,0.574476815757078,0.0648718780408693,0.0586682311528307,0,0,0,0,0,0,0,0,0,0,0,0
Dolichospermum,0.102282515073213,0.125729681185451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462463388315092,0.0225301340542976,0.019712201852947
Leifsonia,0,0,0,0,0,0,0,0.165837479270315,0.287238407878539,0,0.469345849222646,0,0,0.0195963158926122,0,0,0.121835657235684,0,0,0,0,0,0
Nocardia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326686943787316,0
Zoogloea,0,0,0,0.0405350628293474,0,0.098135426889107,0.0294348508634223,0.0552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
