name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea,58.3819968665432,99.8480243161094,73.4148776834748,22.5414099383852,96.2695759282069,65.863277826468,9.11067327943474,99.9140385751894,80.1601038511467,0.0402927943052851,0,33.1956870841936,0.126696832579186,98.6827309236948,99.4380619380619,0.00630715862503942,0.037259366590768,0
Trichosporon (Trichosporonales),6.08175473579262,0,16.9870194707938,0,1.57487242653528,10.6047326906223,1.97024254365106,0,0,6.05063461151031,1.16085282455031,0.0994111799342357,2.82352941176471,0.0642570281124498,0.337162837162837,99.9306212551246,99.8923618298489,0.251046025104603
Cryptococcus (Tremellales),0,0,0,0.0160038409218212,0,0,0.271757592227733,0,0,0.013430931435095,0,65.7796130610996,0.0180995475113122,0,0,0.0126143172500788,0,0
Papiliotrema,0,0,0,67.680243258382,0,4.92988606485539,8.47204293769957,0,0.043271311120727,0,0.0114935923222803,0.259998470597232,0,0,0,0,0,0
Geomyces (Helotiales),0.797607178464606,0,0.137294058911633,4.20100824197807,0,0,0.02038181941708,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus (Filobasidiales),0,0,0.0873689465801298,0,0,0,72.6475983422787,0,0,0.0201463971526425,0,0.0229410415232852,95.6470588235294,0.0160642570281124,0,0,0,0
Penicillium,0.64093433983763,0,0.162256615077384,0,0.950202357909555,13.4312007011394,0.156260615530946,0,18.7797490263955,89.5641662749312,0,0.458820830465703,0,0.257028112449799,0.0124875124875125,0.00630715862503942,0,0
Hyaloraphidium,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera (Tremellales),0,0,0,0,0,0,0.156260615530946,0,0,0.00671546571754751,3.76989828170795,0.0611761107287604,0.00904977375565611,0,0,0.0189214758751183,0.0206996481059822,0
Eurotium,0,0,0,0,0,0,0,0,0.173085244482908,1.27593848633403,0,0.0229410415232852,0,0,0,0,0,0
Mortierella,11.9641076769691,0,0,1.880451308314,0,0,0,0,0,0,0,0.0229410415232852,0,0,0,0,0,0
Myrothecium,0,0,0.0124812780828757,0,0,0.0219106047326906,0,0.0161177671519905,0,0,0,0.0152940276821901,0,0.0321285140562249,0.024975024975025,0,0,0
