name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea,4096,657,5878,2813,10935,3005,1340,18579,3701,6,0,4341,14,6136,7954,1,9,0
Penicillium,45,0,13,0,108,613,23,0,868,13310,0,60,0,16,1,1,0,0
Trichosporon,423,0,1359,0,177,481,258,0,0,884,200,10,308,4,27,15570,23475,8
Cryptococcus,0,0,4,0,0,0,9449,0,0,0,0,631,9200,1,0,0,0,0
Papiliotrema,0,0,0,8451,0,225,1246,0,2,0,2,32,0,0,0,0,0,0
Umbelopsis,1424,0,57,0,133,0,491,0,0,0,16518,0,146,0,0,0,0,0
Helicostylum,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geomyces,56,0,11,523,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus (Filobasidiales),0,0,3,0,0,0,1104,0,0,3,0,0,1267,0,0,0,0,0
Cryptococcus (Tremellales),0,0,0,1,0,0,22,0,0,2,0,7757,0,0,0,1,0,0
Trichosporon (Trichosporonales),4,0,2,0,2,3,29,0,0,16,2,1,3,0,0,243,566,4
Mucor,0,0,11,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0
Ambomucor,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potebniamyces,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus,0,0,2,1,0,7,0,0,7,204,0,0,0,0,0,0,0,0
Eurotium,0,0,0,0,0,0,0,0,6,180,0,3,0,0,0,0,0,0
Cryptosphaeria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Myrothecium,0,0,1,0,0,1,0,3,0,0,0,1,0,2,2,0,0,0
Bullera,0,0,0,0,0,0,21,0,0,1,613,6,0,0,0,3,1,0
Fusarium,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Mortierella,839,0,0,235,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Penicilliopsis,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cerrena,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0
Monascus,0,0,0,0,0,6,0,0,5,24,0,0,0,0,0,0,0,0
Eupenicillium,0,0,135,0,1,3,0,0,13,109,0,3,0,1,0,0,0,0
Hydropisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spadicoides,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bullera (Tremellales),0,0,0,0,0,0,2,0,0,0,39,0,0,0,0,0,4,0
Merimbla,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
Lachnum,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saccharomyces,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagenomella,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Isaria,48,0,1,0,0,0,0,1,0,27,0,0,0,0,7,0,0,0
Meliniomyces,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neosartorya,0,0,0,0,0,4,0,0,2,49,0,0,0,0,0,0,0,0
Elaphocordyceps,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcyclospora,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resinicium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derxomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Epichloe,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophionectria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladosporium,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Edyuillia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Chromocleista,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
Dioszegia,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Phaeoacremonium,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletotrichum,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Claviceps,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geosmithia,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Custingophora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncigena,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Cordyceps,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nectria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Phialosimplex,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Torrubiella,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acremonium (Hypocreales),0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
Malassezia,0,1,8,97,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Pichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thermomyces,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Torrubiella (Clavicipitaceae),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acremonium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escovopsis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mariannaea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Geomyces (Helotiales),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibberella,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hysterobrevium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ustilaginoidea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calycellinopsis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chalara,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oedohysterium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
