name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocreales,4150,657,5907,2819,10944,3007,1342,18605,3709,33,0,4346,14,6147,7976,1,9,0
Eurotiales,45,0,150,1,109,633,23,0,910,13948,0,66,0,17,2,1,0,0
Tremellales,427,0,1361,8460,179,709,1601,0,2,904,869,8658,315,4,27,15850,24138,12
Filobasidiales,0,0,7,0,0,0,10693,0,0,3,0,3,10570,1,0,0,0,0
Mucorales,1501,0,536,77,133,0,518,0,0,0,16532,0,146,56,0,0,0,0
Leotiomycetes,56,0,11,525,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Monoblepharidales,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhytismatales,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylariales,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mortierellales,840,0,0,235,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Polyporales,0,0,0,0,0,177,0,0,0,0,0,0,3,0,0,1,0,0
Cystofilobasidiales,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sordariomycetes,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
Helotiales,0,0,29,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Saccharomycetales,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Basidiobolales,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,30
Spizellomycetales,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Erysiphales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pansporablastina,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnodiales,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Hymenochaetales,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Calosphaeriales,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerellales,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Microascales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleosporales,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chytridiales,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloeophyllales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malasseziales,0,1,8,97,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Peltigerales,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Corticiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Hysteriales,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
