name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea rufa,64.7030727591148,99.5419847328244,73.7314943692269,22.8674540682415,95.9890449686368,65.7946801494834,10.3636222066495,99.75132446751,80.1744820065431,0.0409584271963957,0,85.1661392405063,0.134505949301604,98.5776628414417,99.4100665244132,0.00642054574638844,0.0383223334043006,0
Penicillium janthinellum,0.700525394045534,0,0.151841073010249,0,0.918809082074388,13.2116948779952,0.179085883360586,0,18.3206106870229,88.715953307393,0,1.10759493670886,0,0.258606756101503,0,0.00642054574638844,0,0
Trichosporon porosum,6.73459640184684,0,17.1960015184107,0,1.56374238006891,10.573752473071,2.00887643074048,0,0,6.03454160693563,1.16522955022139,0.197784810126582,3.18675633729953,0.0646516890253758,0.3388979540605,99.9678972712681,99.9574196295508,88.8888888888889
Cryptococcus vishniacii,0,0,0.0506136910034164,0,0,0,73.4641438916141,0,0,0,0,0.0593354430379747,95.1577858251423,0.0161629222563439,0,0,0,0
Cryptococcus aureus,0,0,0,0,0,0,0.109008798567313,0,0,0,0,12.4208860759494,0.0206932229694775,0,0,0,0,0
Papiliotrema bandonii,0,0,0,68.996062992126,0,4.90217630248406,9.67842404422643,0,0.0436205016357688,0,0.0116522955022139,0.494462025316456,0,0,0,0,0,0
Umbelopsis isabellina,12.5616939977711,0,0.670631405795268,0,1.17501546072975,0,3.7608035505723,0,0,0,95.1876019575856,0,1.47956544231764,0,0,0,0,0
Geomyces destructans,0.891577774239771,0,0.139187650259395,4.28969816272966,0,0,0.0233590282644242,0,0,0,0,0,0,0,0,0,0,0
Helicostylum pulchrum,0,0,4.90952802733139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium commune,0,0,0,0,0.0176694054245075,0.175862826994944,0,0,0.19629225736096,0.60072359888047,0,0,0,0,0,0,0,0
Hypocrea sp,0.15921031682853,0.305343511450382,0.341642414273061,0.123031496062992,0.273875784079866,0.087931413497472,0.0311453710192323,0.189209644285869,0.130861504907306,0,0,0.118670886075949,0.0103466114847387,0.129303378050752,0.0753106564578888,0,0,0
Mucor sp,0,0,0,0,0,0,0.20244491162501,0,0,0,0,0,0,0.905123646355261,0,0,0,0
Penicillium chrysogenum,0,0,0.0126534227508541,0,0,0.043965706748736,0,0,0.0654307524536532,0.245750563178374,0,0.0395569620253165,0,0,0,0,0,0
Myrothecium cinctum,0,0,0.0126534227508541,0,0,0.021982853374368,0,0.0162179695102173,0,0,0,0.0197784810126582,0,0.0323258445126879,0.0251035521526296,0,0,0
Aspergillus niger,0,0,0.0126534227508541,0,0,0.131897120246208,0,0,0.0872410032715376,0.819168543927913,0,0,0,0,0,0,0,0
Bullera ninhbinhensis,0,0,0,0,0,0,0.0700770847932726,0,0,0.00682640453273261,3.431601025402,0.118670886075949,0,0,0,0,0,0
Fusarium oxysporum,0.0159210316828531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella sp,3.16828530488776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucor genevensis,0,0,0.0632671137542705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicilliopsis clavariiformis,0,0,0,0,0,0,0,0,0,0.0136528090654652,0,0,0,0,0,0,0,0
Cerrena sp,0,0,0,0,0,3.89096504726313,0,0,0,0,0,0,0,0,0,0,0,0
Ambomucor seriatoinflatus,0,0,0.164494495761103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella indohii,8.35854163349785,0,0,0,0,0,0,0,0,0,0,0.0593354430379747,0,0,0,0,0,0
Mucor hiemalis,0,0,0.0253068455017082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupenicillium crustaceum,0,0,1.69555864861445,0,0.00883470271225373,0.065948560123104,0,0,0.283533260632497,0.737251689535122,0,0.0593354430379747,0,0.0161629222563439,0,0,0,0
Mortierella minutissima,0,0,0,1.91108923884514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotium cristatum,0,0,0,0,0,0,0,0,0.130861504907306,0.798689330329715,0,0.0395569620253165,0,0,0,0,0,0
Mortierella verticillata,1.49657697818819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus sp,0,0,0,0,0,0,0,0,0.0218102508178844,0.279882585842037,0,0,0,0,0,0,0,0
Umbelopsis ramanniana,0.413946823754179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharomyces cerevisiae,0,0,0,0.770997375328084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagenomella humicola,0,0,0,0,0,0,0,0,0.0872410032715376,0.00682640453273261,0,0,0,0,0,0,0,0
Cryptococcus aerius,0,0,0,0,0,0,0,0,0,0,0,0,0.0103466114847387,0,0,0,0,0
Isaria fumosorosea,0.0159210316828531,0,0,0,0,0,0,0,0,0.18431292238378,0,0,0,0,0.0878624325342036,0,0,0
Meliniomyces variabilis,0,0,0.354295837023915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potebniamyces pyri,0,0,0.0126534227508541,0.0164041994750656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monascus fuliginosus,0,0,0,0,0,0.131897120246208,0,0,0.0872410032715376,0.136528090654652,0,0,0,0,0,0,0,0
Neosartorya fischeri,0,0,0,0,0,0.087931413497472,0,0,0.0436205016357688,0.320841013038433,0,0,0,0,0,0,0,0
Elaphocordyceps ophioglossoides,0,0,0.202454764013666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium griseofulvum,0,0,0,0,0.0176694054245075,0,0,0,0,0.0614376407945935,0,0,0,0,0,0,0,0
Isaria javanica,0.73236745741124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcyclospora malicola,0,0,0,0.131233595800525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium decumbens,0,0,0,0,0,0,0,0,0.0436205016357688,0.0546112362618609,0,0,0,0,0,0,0,0
Merimbla ingelheimensis,0,0,0,0,0,0,0,0,0.0218102508178844,0.0819168543927913,0,0,0,0,0,0,0,0
Resinicium bicolor,0,0,0.0126534227508541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epichloe typhina,0,0,0.0506136910034164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophionectria trichospora,0.0159210316828531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus awamori,0,0,0,0,0,0,0,0,0,0.0409584271963957,0,0,0,0,0,0,0,0
Cladosporium cladosporioides,0,0,0,0,0,0.131897120246208,0,0,0,0,0,0,0,0,0,0,0,0
Edyuillia athecia,0,0,0,0,0,0,0,0,0,0.0136528090654652,0,0,0,0,0,0,0,0
Aspergillus fumigatus,0,0,0,0,0,0.021982853374368,0,0,0,0.122875281589187,0,0,0,0,0,0,0,0
Chromocleista malachitea,0,0,0,0,0,0,0,0,0,0.0273056181309304,0,0,0,0,0.0125517760763148,0,0,0
Bullera unica,0,0,0,0,0,0,0,0,0,0,0.139827546026567,0,0,0,0,0.00642054574638844,0,0
Dioszegia buhagiarii,0,0,0,0,0,0,0,0,0,0,0.0524353297599627,0,0,0,0,0,0,0
Bullera nakhonratchasimensis,0,0,0,0,0,0,0.0934361130576968,0,0,0,0,0,0,0,0,0.0128410914927769,0.00425803704492229,0
Phaeoacremonium australiense,0,0,0,0.0492125984251968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus penicillioides,0,0,0,0.00820209973753281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletotrichum truncatum,0,0,0,0.00820209973753281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claviceps fusiformis,0,0,0.0126534227508541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geosmithia eupagioceri,0,0,0,0,0,0,0,0.00540598983673911,0,0,0,0,0,0,0,0,0,0
Aspergillus restrictus,0,0,0,0,0,0,0,0,0,0.0273056181309304,0,0,0,0,0,0,0,0
Juncigena adarca,0.0159210316828531,0,0,0,0,0,0,0.00540598983673911,0,0,0,0,0,0,0.0125517760763148,0,0,0
Cordyceps cicadae,0,0,0,0,0,0,0,0.00540598983673911,0,0,0,0,0,0,0,0,0,0
Penicillium olsonii,0,0,0,0,0,0,0,0,0.0218102508178844,0.0682640453273261,0,0,0,0,0,0,0,0
Nectria mariannaeae,0,0,0,0,0,0,0,0,0.0218102508178844,0,0,0,0,0,0,0,0,0
Phialosimplex chlamydosporus,0,0,0,0,0,0,0,0,0.0218102508178844,0.0273056181309304,0,0,0,0,0,0,0,0
Hypocrea lutea,0,0,0.0379602682525623,0,0.0353388108490149,0,0.00778634275480807,0.0108119796734782,0.0218102508178844,0,0,0.0197784810126582,0,0,0.0251035521526296,0,0,0
Aspergillus flavus,0,0,0.0126534227508541,0,0,0,0,0,0.0436205016357688,0.0204792135981978,0,0,0,0,0,0,0,0
Torrubiella luteorostrata,0,0,0,0,0,0,0,0,0.0218102508178844,0,0,0,0,0,0,0,0,0
Malassezia globosa,0,0,0.0759205365051246,0.738188976377953,0,0.703451307979776,0,0,0,0,0,0,0,0,0,0,0,0
Malassezia restricta,0,0.152671755725191,0.0253068455017082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pichia nakazawae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
Malassezia sympodialis,0,0,0,0.0574146981627297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaria tenuipes,0,0,0.0126534227508541,0,0,0,0,0.00540598983673911,0,0,0,0,0,0,0,0,0,0
Penicillium expansum,0,0,0,0,0,0,0,0,0,0.00682640453273261,0,0,0,0,0.0125517760763148,0,0,0
Fusarium culmorum,0,0,0,0,0,0,0,0,0,0,0,0.0197784810126582,0,0,0,0,0,0
Penicillium sp,0.0159210316828531,0,0,0,0,0.021982853374368,0,0,0.0872410032715376,0.484674721824015,0,0.0395569620253165,0,0,0,0,0,0
Geosmithia putterillii,0,0,0,0,0,0,0,0,0,0,0,0.0197784810126582,0,0,0,0,0,0
Aspergillus oryzae,0,0,0,0,0,0,0,0,0,0.0204792135981978,0,0,0,0,0,0,0,0
Acremonium alternatum,0,0,0.0126534227508541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escovopsis cf weberi,0,0,0,0.00820209973753281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariannaea elegans,0,0,0,0,0,0,0,0.00540598983673911,0,0,0,0,0,0,0,0,0,0
Hypocrea lixii,0,0,0,0,0,0,0,0.00540598983673911,0,0,0,0,0,0,0,0,0,0
Ustilaginoidea virens,0,0,0,0,0,0,0,0,0.0218102508178844,0,0,0,0,0,0,0,0,0
Calycellinopsis xishuangbanna,0,0,0,0,0,0,0.00778634275480807,0,0,0,0,0,0,0,0,0,0,0
