date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
11.12.2012	11:09:37	-0.76	18.30	166.85	61.17	206.71	270.41	814.40	501.07	244.65	6.21	0.00	0.00	250.86	85.58	20.54	18.75	18.2461766707
11.12.2012	11:09:41	-0.77	18.45	168.34	60.71	207.70	268.54	810.80	499.98	243.69	6.33	0.00	0.00	250.02	85.55	20.49	18.65	18.5018104398
11.12.2012	11:09:43	-0.77	18.39	168.13	60.66	206.92	269.08	807.86	500.54	243.01	6.48	0.00	0.00	249.49	85.48	20.56	18.78	19.1993326645
11.12.2012	11:09:46	-0.78	18.36	165.65	60.91	207.20	269.16	807.92	500.34	242.94	6.47	0.00	0.00	249.40	85.61	20.66	18.99	19.1656124519
11.12.2012	11:09:49	-0.76	18.34	167.83	60.74	206.72	270.28	809.55	500.86	243.44	6.49	0.00	0.00	249.93	85.56	20.59	18.87	18.9865317707
11.12.2012	11:09:52	-0.77	18.50	166.32	60.32	207.07	271.15	807.00	500.06	242.65	6.74	0.00	0.00	249.39	85.52	20.59	18.99	19.1774742310
11.12.2012	11:09:55	-0.77	18.40	166.37	60.02	209.37	270.68	809.72	502.55	243.54	6.73	0.00	0.00	250.27	85.51	20.61	18.96	19.4293116118
11.12.2012	11:09:57	-0.77	18.51	165.78	59.11	209.89	268.31	807.28	503.28	243.03	6.62	0.00	0.00	249.65	85.45	20.58	19.06	20.1540381750
11.12.2012	11:10:00	-0.76	18.55	162.68	58.86	208.46	265.94	803.58	499.88	241.78	6.37	0.00	0.00	248.15	85.45	20.65	19.18	19.8997156971
11.12.2012	11:10:03	-0.78	18.41	162.97	59.20	208.00	264.34	801.47	497.99	241.12	6.28	0.00	0.00	247.40	85.61	20.78	19.03	19.7141778116
