date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
11.12.2012	11:31:58	-0.78	18.52	178.30	61.96	212.93	275.67	761.76	376.26	203.61	11.33	6.54	0.49	221.97	89.54	21.13	19.29	0.2958204505
11.12.2012	11:32:02	-0.78	18.54	177.75	61.73	208.89	270.45	755.79	374.62	200.75	10.91	7.35	0.00	219.01	89.57	21.16	19.38	0.4041066413
11.12.2012	11:32:05	-0.78	18.48	173.36	61.41	215.85	265.86	759.77	375.27	206.49	10.64	5.23	0.00	222.36	89.71	21.08	19.22	0.3650634270
11.12.2012	11:32:08	-0.76	18.45	173.85	63.09	218.57	263.49	766.16	378.01	208.65	10.29	5.11	0.00	224.05	89.79	21.21	19.40	0.5197659770
11.12.2012	11:32:10	-0.77	18.50	178.35	62.60	219.80	262.94	764.94	377.99	204.39	10.58	6.88	0.00	221.85	89.69	21.04	19.44	0.6354722714
11.12.2012	11:32:13	-0.76	18.60	175.90	62.85	220.89	264.04	766.67	378.93	207.52	10.61	5.69	0.00	223.82	89.64	21.16	19.47	0.6098958221
11.12.2012	11:32:16	-0.76	18.62	174.27	63.35	218.38	264.97	773.51	378.91	210.82	10.02	5.00	0.00	225.84	89.79	21.18	19.50	0.3805759177
11.12.2012	11:32:19	-0.77	18.52	177.10	63.50	221.36	265.35	773.55	381.89	209.37	10.44	5.76	0.00	225.57	89.65	21.22	19.57	0.5871656404
11.12.2012	11:32:21	-0.77	18.47	179.69	63.08	225.08	264.50	774.02	383.73	208.03	10.74	6.48	0.00	225.25	89.67	21.17	19.64	0.8566461189
11.12.2012	11:32:24	-0.76	18.52	181.04	62.08	225.96	261.69	776.95	383.27	207.56	10.37	7.02	0.00	224.95	89.64	21.12	19.70	0.9617193692
