date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
11.12.2012	11:35:26	-0.77	18.28	41.77	13.59	27.76	41.88	98.29	62.68	12.65	2.04	6.26	1.18	22.12	90.06	21.22	19.92	57.9097211356
11.12.2012	11:35:30	-0.76	18.23	41.38	13.55	27.35	41.65	96.54	62.04	12.39	1.97	6.06	1.40	21.82	92.41	21.41	19.77	62.3022052523
11.12.2012	11:35:33	-0.77	18.31	42.04	13.79	27.54	41.88	95.63	61.27	11.53	1.98	6.20	1.67	21.39	92.66	21.20	19.84	65.0817732598
11.12.2012	11:35:35	-0.77	18.18	41.68	13.97	27.28	41.98	95.88	61.74	12.26	1.78	5.78	2.05	21.87	92.91	21.30	19.84	65.2423684532
11.12.2012	11:35:38	-0.77	18.21	41.56	14.18	27.71	41.48	96.74	61.67	12.38	1.86	5.95	1.72	21.90	92.89	21.19	19.86	58.7435323428
11.12.2012	11:35:41	-0.76	18.13	43.02	14.80	27.45	43.19	98.20	62.98	12.86	1.36	5.38	3.18	22.78	92.77	21.07	19.92	65.5258151357
11.12.2012	11:35:44	-0.76	18.25	44.42	14.70	28.36	42.65	99.43	63.23	11.14	2.01	6.87	1.70	21.72	92.87	21.31	19.91	70.2826703111
11.12.2012	11:35:47	-0.78	18.17	43.65	14.17	27.78	41.02	97.68	62.69	10.32	2.30	7.45	0.64	20.70	93.09	21.26	19.92	76.7413454316
11.12.2012	11:35:49	-0.76	18.07	43.23	14.21	27.57	41.04	97.79	61.99	10.97	1.97	6.88	1.31	21.13	93.05	21.20	19.99	66.5143962136
11.12.2012	11:35:52	-0.76	18.06	43.07	14.16	27.60	40.48	98.01	61.65	10.90	2.01	7.03	1.05	20.98	93.08	21.16	20.07	61.6405969879
