date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
06.12.2012	14:16:37	-0.64	18.06	54.90	19.82	41.51	63.37	160.16	92.43	32.54	0.68	3.71	5.49	42.42	93.33	20.79	18.91	14.5541427351
06.12.2012	14:16:41	-0.65	18.00	53.92	19.30	42.27	61.60	166.07	93.56	34.41	0.87	4.24	3.84	43.36	93.23	20.91	18.84	10.0678432918
06.12.2012	14:16:44	-0.64	18.01	52.84	18.57	46.68	59.37	162.04	96.35	32.71	2.86	6.15	0.00	41.72	93.14	20.81	18.93	17.7339593204
06.12.2012	14:16:47	-0.64	17.84	52.58	17.67	45.07	58.09	161.57	96.32	32.60	2.56	6.17	0.00	41.33	92.90	20.69	18.89	18.4682605999
06.12.2012	14:16:50	-0.65	18.01	50.67	17.22	41.81	58.00	158.52	93.69	32.40	2.36	5.82	0.00	40.58	93.00	20.71	19.01	16.4269587281
06.12.2012	14:16:52	-0.64	18.06	49.79	17.37	41.79	58.24	158.53	91.57	32.87	2.23	5.38	0.33	40.81	93.03	20.78	19.13	11.9026877718
06.12.2012	14:16:55	-0.64	17.95	50.72	17.87	41.52	58.42	157.38	91.08	31.96	2.05	5.38	1.00	40.38	93.00	20.66	19.20	13.1253694257
06.12.2012	14:16:58	-0.63	17.93	51.63	17.99	42.02	58.81	158.51	91.91	31.50	2.28	5.90	0.60	40.28	92.99	20.72	19.28	14.0089681797
06.12.2012	14:17:01	-0.63	18.00	50.56	18.12	41.87	59.44	158.27	92.34	32.96	2.01	4.97	1.28	41.22	92.92	20.85	19.28	13.9581436567
06.12.2012	14:17:04	-0.64	18.07	51.67	18.42	41.51	59.64	160.07	91.77	33.08	1.45	4.65	2.42	41.60	93.05	20.85	19.44	11.9069739806
