date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
01.11.2012	12:39:23	-0.87	21.38	6.00	2.84	6.33	8.96	14.87	14.31	2.59	0.39	0.00	0.12	3.10	67.87	23.22	21.65	2.5322842810
01.11.2012	12:39:27	-0.87	21.45	5.97	2.93	6.32	8.96	14.72	14.51	2.60	0.41	0.00	0.09	3.10	67.35	23.22	21.65	6.2562195727
01.11.2012	12:39:30	-0.87	21.44	5.85	2.86	6.21	8.89	14.85	14.23	2.61	0.38	0.00	0.08	3.08	67.10	23.12	21.72	2.6095633654
01.11.2012	12:39:32	-0.88	21.44	5.86	2.78	6.24	8.99	14.98	14.24	2.66	0.39	0.00	0.07	3.12	66.83	23.35	21.71	2.2091122247
01.11.2012	12:39:35	-0.88	21.48	5.99	2.68	6.14	8.90	14.88	14.21	2.58	0.35	0.00	0.13	3.06	66.17	23.26	21.73	2.5584960267
01.11.2012	12:39:38	-0.88	21.57	6.06	2.76	6.29	8.77	14.81	14.32	2.50	0.39	0.06	0.05	3.01	65.82	23.24	21.84	2.9409566365
01.11.2012	12:39:41	-0.88	21.33	6.06	2.75	6.26	8.88	14.76	14.46	2.54	0.40	0.04	0.07	3.04	65.12	23.23	21.89	5.1748196645
01.11.2012	12:39:44	-0.87	21.43	6.07	2.77	6.31	8.87	14.92	14.33	2.58	0.37	0.01	0.13	3.09	64.89	23.28	21.92	2.3829308016
01.11.2012	12:39:46	-0.89	21.41	6.00	2.80	6.28	9.07	14.93	14.41	2.62	0.39	0.00	0.11	3.13	64.48	23.26	22.01	3.8708409508
01.11.2012	12:39:49	-0.86	21.52	5.86	2.82	6.23	8.99	14.97	14.47	2.70	0.40	0.00	0.04	3.14	64.10	23.20	21.97	4.2485090255
