date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
20.11.2012	12:45:02	-0.68	15.56	35.95	14.06	35.95	47.06	138.57	73.35	34.37	0.50	1.22	1.73	37.82	94.43	17.81	16.66	1.0314391583
20.11.2012	12:45:06	-0.68	15.47	36.34	13.90	36.45	46.90	139.37	73.44	33.89	0.79	1.80	1.04	37.52	94.63	18.00	16.77	0.9521779672
20.11.2012	12:45:09	-0.69	15.46	36.02	13.90	36.27	47.39	139.41	73.22	34.59	0.52	1.21	1.71	38.04	94.69	17.94	16.81	0.7481313006
20.11.2012	12:45:12	-0.68	15.62	36.35	14.09	36.13	47.55	140.11	73.78	34.80	0.39	1.13	1.96	38.28	94.55	18.10	16.94	0.8711115265
20.11.2012	12:45:15	-0.68	15.69	35.79	13.92	36.21	47.63	140.01	74.01	35.23	0.47	1.01	1.77	38.48	94.51	17.90	17.06	0.8824015223
20.11.2012	12:45:17	-0.67	15.69	35.59	13.91	35.98	47.66	139.56	74.26	35.35	0.44	0.89	1.84	38.52	94.60	17.87	17.13	1.0546059954
20.11.2012	12:45:20	-0.67	15.65	36.08	14.46	36.06	47.88	140.35	73.62	35.59	0.05	0.47	2.79	38.90	94.64	17.90	17.13	0.8028119453
20.11.2012	12:45:23	-0.69	15.60	36.05	14.34	36.24	47.69	141.29	74.04	35.76	0.16	0.68	2.37	38.97	94.41	18.01	17.15	0.8042921048
20.11.2012	12:45:26	-0.66	15.58	36.65	14.08	36.16	47.49	140.14	73.52	34.46	0.41	1.28	1.93	38.09	94.60	17.95	17.09	0.7985398513
20.11.2012	12:45:28	-0.67	15.62	36.24	14.19	36.27	47.38	140.61	73.69	35.02	0.35	1.08	1.97	38.42	94.50	18.03	17.28	0.8192937706
