date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
29.11.2012	10:02:43	-0.68	18.32	71.34	27.40	86.59	110.29	283.30	153.74	74.75	5.76	2.80	0.00	83.31	94.77	20.93	19.07	2.5657094887
29.11.2012	10:02:47	-0.69	18.29	70.61	27.34	86.56	110.12	283.60	152.93	75.28	5.70	2.56	0.00	83.54	94.57	20.90	19.12	2.1807923614
29.11.2012	10:02:50	-0.69	18.20	71.75	27.43	86.82	109.88	282.92	153.22	74.13	5.78	3.02	0.00	82.92	94.71	20.87	19.08	2.5070124207
29.11.2012	10:02:52	-0.68	18.30	70.81	27.33	86.56	110.50	281.67	152.65	74.47	5.86	2.69	0.00	83.03	94.59	20.77	19.34	2.4047971204
29.11.2012	10:02:55	-0.69	18.23	71.02	27.39	86.47	110.24	280.23	152.60	73.80	5.92	2.83	0.00	82.55	94.63	20.85	19.32	2.6915514538
29.11.2012	10:02:58	-0.69	18.26	71.13	27.30	86.49	109.94	280.07	152.80	73.69	5.90	2.87	0.00	82.46	94.70	20.81	19.37	2.8167085936
29.11.2012	10:03:01	-0.69	18.45	71.11	27.22	86.14	110.24	280.36	152.23	73.65	5.88	2.90	0.00	82.43	94.68	20.79	19.34	2.5430511017
29.11.2012	10:03:04	-0.69	18.41	72.28	27.16	86.20	110.46	280.64	152.65	72.82	5.94	3.32	0.00	82.08	94.71	20.97	19.42	2.7373077363
29.11.2012	10:03:06	-0.69	18.32	70.92	27.43	85.91	109.70	280.81	152.44	73.93	5.77	2.84	0.00	82.54	94.59	20.86	19.46	2.5868174582
29.11.2012	10:03:09	-0.70	18.42	71.78	27.32	85.59	109.99	280.96	152.33	73.17	5.79	3.19	0.00	82.16	94.84	20.86	19.52	2.5902506429
