date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
06.11.2012	10:54:47	-0.63	21.04	92.04	32.04	107.94	139.61	536.04	279.82	153.92	0.00	0.00	0.00	153.92	91.94	23.21	21.52	5.4015430679
06.11.2012	10:54:51	-0.64	20.96	91.52	32.01	108.30	140.24	537.19	279.98	154.21	0.00	0.00	0.00	154.21	91.98	23.32	21.42	5.3313071205
06.11.2012	10:54:54	-0.64	21.02	91.48	31.85	107.94	139.30	536.67	279.06	153.93	0.00	0.00	0.00	153.93	91.93	23.24	21.59	5.3418521730
06.11.2012	10:54:57	-0.63	20.98	91.20	31.61	107.48	139.41	535.91	278.64	153.70	0.00	0.00	0.00	153.70	91.90	23.26	21.69	5.3484810456
06.11.2012	10:54:59	-0.64	20.97	91.52	32.09	108.13	139.91	536.16	279.03	153.87	0.00	0.00	0.00	153.87	91.94	23.16	21.72	5.2293675791
06.11.2012	10:55:02	-0.64	21.09	90.96	31.70	108.84	139.36	537.40	280.18	154.22	0.00	0.00	0.00	154.22	91.96	23.32	21.75	5.5093113019
06.11.2012	10:55:05	-0.64	20.88	92.19	31.90	107.86	138.76	538.91	280.43	154.52	0.00	0.00	0.00	154.52	91.96	23.39	21.84	5.5856310352
06.11.2012	10:55:08	-0.63	21.13	91.44	32.01	107.79	139.88	537.04	280.03	154.13	0.00	0.00	0.00	154.13	91.67	23.21	21.92	5.4678058736
06.11.2012	10:55:10	-0.65	21.03	92.18	31.89	108.70	140.35	539.48	281.32	154.86	0.00	0.00	0.00	154.86	92.04	23.21	21.99	5.4152122948
06.11.2012	10:55:13	-0.64	20.91	93.49	32.17	108.35	139.88	540.67	281.17	155.11	0.00	0.00	0.00	155.11	91.79	23.22	21.88	5.3215189600
