date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
14.10.2012	09:01:21	-0.67	17.60	3.91	1.90	3.42	5.92	10.17	13.05	1.49	0.02	0.00	0.00	1.51	61.43	19.47	17.77	127.6577751073
14.10.2012	09:01:25	-0.66	17.47	3.81	1.90	3.26	5.81	10.44	12.99	1.54	0.00	0.00	0.00	1.54	61.15	19.40	17.77	114.3343930895
14.10.2012	09:01:28	-0.65	17.58	3.83	1.88	3.38	5.82	10.23	12.93	1.49	0.00	0.00	0.00	1.49	60.72	19.65	17.88	114.1699490753
14.10.2012	09:01:31	-0.66	17.66	3.96	1.88	3.29	5.77	10.25	12.84	1.49	0.00	0.00	0.00	1.49	60.62	19.30	17.75	99.9262259218
14.10.2012	09:01:34	-0.66	17.63	3.95	1.90	3.34	5.84	10.21	12.89	1.49	0.00	0.00	0.00	1.49	60.35	19.30	18.03	106.4654397558
14.10.2012	09:01:36	-0.66	17.54	3.79	1.76	3.27	5.77	10.05	12.96	1.45	0.00	0.00	0.00	1.45	60.21	19.40	17.99	142.4001404645
14.10.2012	09:01:39	-0.65	17.58	3.76	1.81	3.25	5.64	10.28	13.14	1.50	0.00	0.00	0.00	1.50	59.94	19.29	18.12	143.9492635757
14.10.2012	09:01:42	-0.65	17.53	3.82	1.88	3.38	5.75	10.31	13.27	1.54	0.00	0.00	0.00	1.54	59.91	19.39	18.03	143.8876702914
14.10.2012	09:01:45	-0.65	17.63	3.92	1.84	3.36	5.64	10.44	13.20	1.55	0.00	0.00	0.00	1.55	59.87	19.59	18.18	122.2458774287
14.10.2012	09:01:47	-0.64	17.63	3.90	1.81	3.32	5.64	10.34	13.25	1.53	0.00	0.00	0.00	1.53	59.79	19.46	18.18	138.8583614940
