date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
17.10.2012	11:08:46	-0.65	17.69	15.59	4.68	9.41	13.23	33.41	26.07	3.04	0.45	2.42	0.00	5.91	99.03	20.03	18.54	108.8837159955
17.10.2012	11:08:50	-0.65	17.74	16.03	4.78	9.45	12.82	33.05	26.59	2.63	0.44	2.60	0.00	5.67	98.98	19.90	18.62	165.2896506918
17.10.2012	11:08:53	-0.66	17.73	15.93	5.00	9.45	13.37	33.75	26.09	2.83	0.47	2.56	0.00	5.86	99.18	19.98	18.58	109.4118925459
17.10.2012	11:08:56	-0.66	17.86	14.60	4.57	9.69	12.90	35.22	26.11	4.50	0.29	1.98	0.00	6.77	99.31	19.95	18.65	46.2518957823
17.10.2012	11:08:59	-0.67	17.67	14.19	4.20	8.84	11.97	31.80	25.24	3.48	0.29	2.03	0.00	5.79	99.48	19.94	18.71	97.6620952968
17.10.2012	11:09:01	-0.66	17.85	13.47	4.02	8.42	11.67	29.55	24.06	3.09	0.32	1.90	0.00	5.31	99.51	20.10	18.78	107.5037398323
17.10.2012	11:09:04	-0.65	17.83	12.88	4.17	7.91	11.55	27.34	22.70	2.53	0.38	1.84	0.00	4.75	98.66	19.98	18.75	118.7208632667
17.10.2012	11:09:07	-0.65	17.88	12.78	4.25	8.01	11.66	27.54	21.95	2.51	0.39	1.84	0.00	4.74	98.50	19.83	18.82	73.0877598810
17.10.2012	11:09:10	-0.65	17.78	13.56	4.37	7.76	12.39	26.86	22.27	1.72	0.51	2.11	0.04	4.37	98.70	20.04	18.78	147.7216418408
17.10.2012	11:09:13	-0.66	17.67	13.87	4.34	8.27	13.13	27.28	22.83	1.81	0.64	2.14	0.00	4.59	98.57	20.02	18.83	157.4658116209
