date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
19.10.2012	11:06:29	-0.69	20.28	12.96	3.93	6.80	11.21	22.65	20.18	0.28	0.53	2.21	0.00	3.03	97.83	22.61	20.50	199.3714227401
19.10.2012	11:06:33	-0.70	20.41	13.25	3.96	7.12	11.87	24.95	21.23	1.08	0.49	2.15	0.02	3.74	97.75	22.58	20.59	178.0914322246
19.10.2012	11:06:36	-0.70	20.41	13.63	4.08	7.09	11.71	26.20	21.62	1.20	0.40	2.24	0.05	3.90	97.69	22.34	20.40	151.6615616906
19.10.2012	11:06:38	-0.69	20.38	13.51	4.03	7.61	11.34	25.91	21.89	1.30	0.44	2.20	0.00	3.94	97.65	22.32	20.52	167.5941732980
19.10.2012	11:06:41	-0.70	20.37	13.60	4.04	8.13	11.77	26.16	20.86	1.12	0.53	2.25	0.00	3.90	97.83	22.45	20.72	76.1299343809
19.10.2012	11:06:44	-0.69	20.39	12.75	4.05	7.28	12.28	25.21	20.16	1.94	0.16	1.40	0.88	4.38	97.62	22.57	20.69	77.1503793950
19.10.2012	11:06:47	-0.69	20.32	12.77	4.35	7.85	12.61	27.13	21.50	2.74	0.24	1.41	0.64	5.02	97.56	22.51	20.68	64.2218018971
19.10.2012	11:06:50	-0.70	20.52	12.78	4.64	8.33	12.92	27.78	22.86	3.06	0.46	1.56	0.23	5.29	97.56	22.69	20.78	95.0408326647
19.10.2012	11:06:52	-0.69	20.35	12.12	4.46	7.65	12.54	25.31	21.97	2.73	0.37	1.30	0.45	4.86	97.51	22.35	20.89	138.8486266809
19.10.2012	11:06:55	-0.71	20.54	11.52	4.32	7.56	12.32	23.69	20.81	2.56	0.36	1.09	0.58	4.60	97.44	22.41	20.96	123.5298748837
