date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
23.10.2012	10:25:02	-0.59	17.91	351.03	139.62	327.88	468.94	1168.10	621.26	279.61	9.95	11.83	39.22	340.60	80.90	19.99	18.10	6.7729258977
23.10.2012	10:25:06	-0.61	18.11	351.99	141.28	329.70	473.67	1169.85	622.06	281.89	9.30	9.79	42.26	343.24	81.10	20.11	18.31	6.6587609381
23.10.2012	10:25:08	-0.59	17.94	354.64	142.19	331.02	477.46	1174.42	624.05	282.93	8.91	9.19	44.06	345.09	80.81	19.94	18.26	6.6131500873
23.10.2012	10:25:11	-0.59	17.92	360.84	144.39	335.11	482.29	1178.15	626.17	279.88	9.76	10.87	44.38	344.89	80.93	19.90	18.36	6.8133684810
23.10.2012	10:25:14	-0.61	18.04	360.68	146.21	338.19	486.19	1180.95	628.60	282.72	9.84	9.50	45.54	347.60	80.76	19.96	18.45	6.8116228452
23.10.2012	10:25:17	-0.59	18.09	363.95	147.80	340.58	490.75	1188.48	631.62	284.61	9.41	8.81	47.53	350.36	80.83	19.78	18.54	6.6780473814
23.10.2012	10:25:20	-0.60	18.10	366.13	148.44	342.63	493.23	1193.98	635.44	285.23	9.90	9.53	46.91	351.57	80.94	19.94	18.59	6.8410191116
23.10.2012	10:25:22	-0.58	18.03	368.35	149.36	346.42	496.77	1204.06	640.19	287.60	10.47	10.05	46.15	354.27	80.75	19.86	18.69	6.7042671485
23.10.2012	10:25:25	-0.60	17.98	375.45	149.89	349.90	499.24	1207.99	642.86	281.81	12.33	14.25	43.36	351.74	80.89	19.94	18.71	7.0880243988
23.10.2012	10:25:28	-0.58	18.13	377.34	150.25	349.98	500.96	1210.74	645.81	282.00	12.29	14.48	43.66	352.43	80.99	19.94	18.69	7.3916983641
