date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
29.10.2012	13:10:13	-0.77	19.92	153.70	52.46	175.85	228.29	807.96	417.09	235.18	0.00	0.00	0.00	235.18	84.46	22.53	20.62	2.5076039814
29.10.2012	13:10:17	-0.77	19.93	153.85	52.84	173.75	227.93	807.34	415.11	234.75	0.00	0.00	0.00	234.75	84.60	22.46	20.82	2.3833251407
29.10.2012	13:10:20	-0.77	19.92	152.82	53.01	174.74	228.21	810.08	417.04	235.54	0.00	0.00	0.00	235.54	84.73	22.78	20.73	2.4760414559
29.10.2012	13:10:23	-0.77	19.91	154.32	52.90	174.66	228.45	811.96	417.52	236.05	0.00	0.00	0.00	236.05	84.89	22.71	20.87	2.4241643437
29.10.2012	13:10:26	-0.75	19.93	153.87	52.99	175.31	229.08	813.03	417.49	236.32	0.00	0.00	0.00	236.32	84.78	22.63	20.89	2.3458981580
29.10.2012	13:10:28	-0.76	19.91	155.21	53.52	174.86	228.86	815.03	418.02	236.81	0.00	0.00	0.00	236.81	84.93	22.51	21.02	2.3375740869
29.10.2012	13:10:31	-0.77	19.99	153.61	53.69	175.28	230.21	814.59	419.75	236.93	0.00	0.00	0.00	236.93	84.95	22.53	21.04	2.5200377673
29.10.2012	13:10:34	-0.76	19.92	155.66	53.93	176.08	229.87	816.21	419.74	237.37	0.00	0.00	0.00	237.37	84.84	22.53	21.15	2.4049730217
29.10.2012	13:10:37	-0.77	19.97	154.78	54.24	176.69	230.05	816.98	420.19	237.58	0.00	0.00	0.00	237.58	84.97	22.55	21.16	2.4180476400
29.10.2012	13:10:40	-0.76	20.08	156.93	54.31	176.78	230.33	816.90	421.73	237.82	0.00	0.00	0.00	237.82	85.01	22.59	21.16	2.5548739000
