Data Audit Trail,,,,,,,,,
,,,,,,,,,
Date,User,Event,Comment,,,,,,
7/1/2014 3:27:36 PM,User,"Protocol ""C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt"" (5/12/2014 10:12:05 AM) selected",,,,,,,
7/1/2014 3:29:03 PM,User,Plate read started,,,,,,,
7/1/2014 3:29:42 PM,User,Plate read successfully completed,,,,,,,
,,,,,,,,,
660,,,,,,,,,
,1,2,3,4,5,6,7,8,
A,0.075,0.078,0.078,0.074,0.081,0.074,0.073,0.11,660
B,0.076,0.566,0.411,0.257,0.773,0.922,0.074,0.074,660
C,0.077,0.08,0.415,0.245,0.079,0.08,0.074,0.073,660
D,0.084,0.099,0.129,0.103,1.046,1.004,0.075,0.074,660
E,0.077,0.09,0.155,0.091,0.135,0.365,0.074,0.075,660
F,0.081,0.078,0.076,0.075,0.08,0.079,0.079,0.074,660
