date,sampleID,pH,cond,temp,DO,salt,ORP
2012-10-02,1,7.16,693,20.8,,0.3,
2012-10-02,2,7.32,564,19.8,,0.3,
2012-10-02,3,7.35,745,19.1,,0.4,
2012-10-02,4,7.4,707,19.1,,0.3,
2012-10-02,5,7.38,813,19,,0.4,
2012-10-02,6,7.31,696,18.1,,0.3,
2012-10-02,7,7.36,818,18.8,,0.4,
2012-10-02,8,7.33,873,18.6,,0.4,
2012-10-02,input,7.64,89,14.4,,0,
2012-10-02,input,7.59,86.7,14.2,,0,
2012-10-03,1,7.16,659,21.8,,0.3,
2012-10-03,2,7.34,534,21,,0.3,
2012-10-03,3,7.45,723,20.2,,0.4,
2012-10-03,4,7.46,688,19.9,,0.3,
2012-10-03,5,7.31,820,20.1,,0.4,
2012-10-03,6,7.34,670,19.2,,0.3,
2012-10-03,7,7.31,811,20.4,,0.4,
2012-10-03,8,7.29,909,20.7,,0.4,
2012-10-03,input,7.68,87.1,15,,0,
2012-10-03,input,7.67,86,14.8,,0,
2012-10-04,1,7.39,642,25.2,,0.3,
2012-10-04,2,7.43,519,25.4,,0.3,
2012-10-04,3,7.91,811,24.2,,0.4,
2012-10-04,4,7.93,770,23.9,,0.4,
2012-10-04,5,7.34,818,24.2,,0.4,
2012-10-04,6,7.45,644,23.1,,0.3,
2012-10-04,7,7.37,818,24.9,,0.4,
2012-10-04,8,7.32,942,26,,0.5,
2012-10-04,input,7.68,88.1,15.8,,0,
2012-10-04,input,7.65,86.9,15.5,,0,
2012-10-05,1,3.98,727,25.5,,0.4,
2012-10-05,2,3.75,687,25.5,,0.3,
2012-10-05,3,8.61,870,24.3,,0.4,
2012-10-05,4,8.58,844,24.3,,0.4,
2012-10-05,5,7.36,819,24.4,,0.4,
2012-10-05,6,7.42,625,23.7,,0.3,
2012-10-05,7,7.28,3618,24.5,,1.9,
2012-10-05,8,7.29,3576,26.2,,1.9,
2012-10-05,input,7.7,87.2,15.4,,0,
2012-10-05,input,7.69,86.9,15.1,,0,
2012-10-08,1,2.47,2234,23.8,,1.1,
2012-10-08,2,2.63,2039,22.3,,1,
2012-10-08,3,9.64,897,22.2,,0.4,
2012-10-08,4,9.53,899,22.3,,0.4,
2012-10-08,5,7.48,789,22.8,,0.4,
2012-10-08,6,7.59,632,22.3,,0.3,
2012-10-08,7,7.27,10080,21.5,,5.7,
2012-10-08,8,7.32,10540,22.4,,6,
2012-10-08,input,7.9,85.6,12.6,,0,
2012-10-08,input,7.9,85.3,12.5,,0,
2012-10-09,1,2.51,2496,23,,1.3,
2012-10-09,2,2.59,2206,22.1,,1.1,
2012-10-09,3,9.6,920,21.2,,0.5,
2012-10-09,4,9.38,931,21.1,,0.5,
2012-10-09,5,7.37,757,21.6,,0.4,
2012-10-09,6,7.47,562,21.2,,0.3,
2012-10-09,7,7.13,11560,20.6,,6.6,
2012-10-09,8,7.24,12300,21.4,,7.1,
2012-10-09,input,7.9,85.8,12.8,,0,
2012-10-09,input,7.9,85.6,12.6,,0,
2012-10-10,1,2.29,2666,22.9,,1.4,
2012-10-10,2,2.58,2337,22.5,,1.2,
2012-10-10,3,8.87,925,21.6,,0.5,
2012-10-10,4,9.38,978,21.6,,0.5,
2012-10-10,5,7.49,754,22.1,,0.4,
2012-10-10,6,7.57,607,21.6,,0.3,
