X.OTU.ID,assay,Genus
0,algae,Koliella/Pabia
1,algae,Chlorella
6,proto300,Can not be resolved
8,28F,
11,proto300,Can not be resolved
12,28F,
13,algae,Koliella/Pabia
16,28F,
20,28F,
21,algae,Brevundimonas
22,algae,Apatococcus
23,28F,
24,proto300,Can not be resolved
25,28F,Can not be resolved
26,28F,
28,28F,
30,28F,
34,28F,Can not be resolved
36,proto300,Can not be resolved
37,28F,Can not be resolved
38,28F,Can not be resolved
39,28F,
40,28F,
46,28F,
48,28F,
57,proto300,Can not be resolved
58,28F,
59,28F,
60,28F,Can not be resolved
65,algae,Chlorella
66,proto300,Euglena gracilis
69,algae,Monoraphidium
74,28F,
83,proto300,Can not be resolved
93,proto300,Can not be resolved
94,28F,
96,proto300,Can not be resolved
97,28F,
101,proto300,Can not be resolved
103,28F,
104,28F,
108,28F,Chitinophaga
109,proto300,Can not be resolved
111,28F,
112,algae,Euglena gracilis/Lepocinclis acus
113,proto300,Can not be resolved
114,algae,Apatococcus
117,28F,
118,28F,Can not be resolved
120,28F,
123,28F,
128,28F,
130,algae,Brevundimonas
138,proto300,Can not be resolved
142,28F,
148,proto300,Cladosporium 
149,28F,
150,proto300,Can not be resolved
153,proto300,Can not be resolved
166,28F,
168,28F,
171,28F,
175,28F,
178,28F,
179,28F,
186,28F,Buttiauxella
187,proto300,Can not be resolved
191,28F,Undibacterium
203,proto300,Can not be resolved
204,28F,
211,28F,
217,proto300,Can not be resolved
218,28F,
219,algae,Chlorella
231,algae,Chlorella
232,28F,
233,28F,
234,28F,Can not be resolved
246,algae,Koliella/Pabia
247,28F,
249,proto300,Can not be resolved
251,28F,
255,proto300,Can not be resolved
258,28F,
267,algae,Koliella/Pabia
268,28F,
274,28F,Actinobacterium
281,proto300,Can not be resolved
286,algae,Apatococcus
297,algae,Chlorella
299,28F,
304,28F,
309,28F,Aeromonas
313,algae,Koliella/Pabia
319,algae,Koliella/Pabia
340,algae,Monoraphidium
346,28F,
350,algae,Koliella/Pabia
351,28F,
352,algae,Chlorella
353,28F,Can not be resolved
354,28F,
355,proto300,Can not be resolved
358,algae,Koliella/Pabia
361,algae,Chlorella
366,28F,
368,28F,Can not be resolved
369,proto300,Can not be resolved
377,algae,Chlorella
390,28F,
397,algae,Koliella/Pabia
408,28F,
410,28F,
414,28F,
416,algae,Koliella/Pabia
423,proto300,Can not be resolved
425,algae,Chlorella
429,algae,Koliella/Pabia
434,28F,
450,28F,
455,28F,Can not be resolved
461,28F,Erythrobacter
462,algae,Monoraphidium
463,28F,Brevundimonas
468,28F,
474,algae,Chlorella
476,algae,Apatococcus
479,28F,
481,algae,Koliella/Pabia
482,28F,Can not be resolved
490,proto300,Can not be resolved
499,proto300,Can not be resolved
501,algae,Koliella/Pabia
503,28F,
504,28F,
511,28F,
513,28F,
519,algae,Koliella/Pabia
520,28F,
525,28F,Can not be resolved
526,28F,Can not be resolved
532,28F,Can not be resolved
543,algae,Koliella/Pabia
544,proto300,Can not be resolved
545,28F,
548,28F,
549,proto300,Can not be resolved
551,28F,
553,algae,Chlorella
554,algae,Koliella/Pabia
562,proto300,Can not be resolved
565,28F,
574,28F,Pseudomonas
582,proto300,Can not be resolved
584,algae,Chlorella
592,28F,
596,algae,Apatococcus
601,proto300,Can not be resolved
602,proto300,Can not be resolved
604,proto300,Can not be resolved
605,28F,Can not be resolved
615,proto300,Euglena gracilis
620,proto300,Can not be resolved
623,algae,Koliella/Pabia
624,28F,Pseudomonas
630,algae,Chlorella
633,28F,
634,28F,
641,proto300,Can not be resolved
642,proto300,Can not be resolved
648,28F,
652,proto300,Can not be resolved
658,algae,Chlorella
669,28F,Polycyclovorans
672,proto300,Can not be resolved
678,28F,Can not be resolved
683,algae,Koliella/Pabia
688,proto300,Can not be resolved
689,algae,Koliella/Pabia
690,28F,
695,algae,Koliella/Pabia
696,28F,
697,28F,Can not be resolved
703,proto300,Can not be resolved
704,proto300,Euglena gracilis
705,28F,Pavlova
708,proto300,Can not be resolved
710,28F,
717,28F,Mesorhizobium   
719,28F,
723,28F,
725,algae,Chlorella
726,algae,Koliella/Pabia
729,28F,
731,algae,Koliella/Pabia
732,28F,
735,algae,Monoraphidium
737,28F,
752,28F,
753,proto300,Can not be resolved
760,algae,Koliella/Pabia
761,algae,Koliella/Pabia
767,28F,
768,proto300,Can not be resolved
770,28F,
781,28F,Can not be resolved
786,algae,Koliella/Pabia
794,28F,Can not be resolved
797,28F,
799,proto300,Can not be resolved
803,proto300,Can not be resolved
806,algae,Chlorella
808,proto300,Can not be resolved
812,28F,Can not be resolved
813,28F,Massilia
814,algae,Koliella/Pabia
818,algae,Koliella/Pabia
820,28F,
822,algae,Koliella/Pabia
826,algae,Koliella/Pabia
827,algae,Euglena gracilis/Lepocinclis acus
830,28F,Can not be resolved
831,algae,Koliella/Pabia
832,proto300,Can not be resolved
841,28F,
844,algae,Koliella/Pabia
847,proto300,Can not be resolved
856,28F,Microlunatus
857,algae,Koliella/Pabia
859,algae,Phenylobacterium lituiforme
867,28F,
875,algae,Koliella/Pabia
878,28F,
888,proto300,Can not be resolved
889,proto300,Can not be resolved
894,algae,Koliella/Pabia
897,28F,
899,algae,Koliella/Pabia
909,28F,Pavlova
914,28F,
915,proto300,Chlorella
918,proto300,Can not be resolved
924,proto300,Can not be resolved
926,proto300,Chlorella
931,algae,Koliella/Pabia
934,28F,
940,28F,
945,28F,
952,algae,Euglena gracilis/Lepocinclis acus
953,algae,Koliella/Pabia
954,proto300,Euglena gracilis
959,proto300,Can not be resolved
966,proto300,Can not be resolved
971,algae,Koliella/Pabia
972,28F,
981,28F,
982,algae,Chlorella
983,proto300,Can not be resolved
989,28F,
990,algae,Koliella/Pabia
998,algae,Apatococcus
1000,proto300,Can not be resolved
1002,algae,Chlorella
1011,algae,Koliella/Pabia
1013,28F,
1018,proto300,Can not be resolved
1019,proto300,Can not be resolved
1024,algae,Euglena gracilis/Lepocinclis acus
1040,28F,Bacillariophycidae��_��_
1042,28F,Xanthomonas
1043,28F,
1045,algae,Koliella/Pabia
1050,28F,Can not be resolved
1069,28F,
1070,algae,Koliella/Pabia
1075,algae,Chlorella
1081,28F,Can not be resolved
1086,28F,
1090,algae,Chlorella
1092,28F,
1098,algae,Koliella/Pabia
1102,algae,Apatococcus
1103,algae,Chlorella
1105,proto300,Can not be resolved
1107,proto300,Can not be resolved
1108,algae,Chlorella
1110,28F,Chitinophaga
1118,28F,Pavlova
1120,28F,Chitinophaga
1124,algae,Euglena gracilis/Lepocinclis acus
1129,proto300,Can not be resolved
1133,algae,Koliella/Pabia
1134,algae,Apatococcus
1153,proto300,Can not be resolved
1159,algae,Chlorella
1163,algae,Koliella/Pabia
