name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacteriia,9213,4,12,0,11,0,0,103,32,0,23,7,0,0,0,0,189,0,0,0,0,4471,61
Betaproteobacteria,1000,0,28,1175,16,502,1723,306,145,758,241,599,903,2185,695,4768,3116,4009,84,9929,0,24,13
Bacilli,0,1,41,67,22,29,154,0,64,50,22,7,0,0,0,0,0,0,0,0,0,0,0
Gammaproteobacteria,37,0,2955,6152,3741,5886,8265,3122,1968,2159,2817,1244,8539,7798,6761,0,4073,0,5884,226,0,2924,292
Cyanobacteria (class),1036,11088,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6483,950,1669
Flavobacteriia,3589,2,8,0,0,704,12,0,21,0,12,29,0,0,0,0,0,0,1,6,0,0,1038
Alphaproteobacteria,3372,1,6,3,0,7,19,18,74,101,76,153,458,108,0,0,0,222,0,1704,4,456,424
Synergistia::Betaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Actinobacteria (class),51,0,0,0,0,1,6,6,96,14,45,6,0,2,0,0,9,0,0,0,0,40,25
Betaproteobacteria::Gammaproteobacteria,0,0,22,2,1,4,10,63,35,1,84,0,0,111,657,0,0,0,0,0,0,2,0
Gammaproteobacteria::Betaproteobacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
Clostridia,0,39,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0
Cytophagia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545
Bacteroidia,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes (class),0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Negativicutes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria (class)::Clostridia,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria::Actinobacteria (class),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Gemmatimonadetes (class),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacilli::Betaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Erysipelotrichia,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobacteriia::Flavobacteriia,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriia::Sphingobacteriia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriia::Gammaproteobacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
