name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacteriia,51.0658914728682,0.0359227660529861,0.390497884803124,0,0.290160907412292,0,0,2.84687672747374,1.31308986458761,0,0.674684658257554,0.342298288508557,0,0,0,0,2.55854880194937,0,0,0,0,50.3661146783823,1.20244431302977
Betaproteobacteria,5.3832902670112,0,1.62707452001302,15.903256316714,0.448430493273543,7.09378942941259,17.0035321821036,10.1990049751244,7.38613048830529,24.6188777165099,9.533587562335,29.2909535452323,9.12121212121212,22.4965706447188,16.6502463054187,100,42.1822119940436,94.7530134719924,1.40727089964818,83.6831015592078,0,0.292891742705869,0.256258624088311
Bacilli,0,0.00898069151324652,1.33420110641067,0.905283069855425,0.580321814824585,0.406561054254872,1.51098901098901,0,2.62617972917522,1.62179695102173,0.645350542681138,0.342298288508557,0,0,0.0123152709359606,0,0,0,0,0,0,0,0
Gammaproteobacteria,0.199181739879414,0,96.1926456231695,83.1239021753817,98.6810867844896,82.5178746670405,81.0930141287284,86.2907683803206,80.7550266721379,70.0291923451184,82.6342035787621,60.8312958435208,86.2525252525252,76.4256319811875,83.3374384236453,0,55.1374035467714,0,98.575975875356,1.9047619047619,0,32.9390559873831,5.75596294106052
Cyanobacteria (class),5.5770887166236,99.5779074988774,0,0,0,0,0,0,0.0820681165367255,0,0,0,0,0,0,0,0,0,0,0,99.9383382148913,10.7018136757914,32.8996648925685
Flavobacteriia,19.3475452196382,0.017961383026493,0.260331923202083,0,0,9.86962007570447,0.117739403453689,0,0.861715223635618,0,0.352009386916984,1.41809290953545,0,0,0,0,0,0,0.0167532249958117,0.0505689001264222,0,0,20.461265523359
Alphaproteobacteria,18.1524547803618,0.00898069151324652,0.195248942401562,0.0405350628293474,0,0.098135426889107,0.186420722135008,0.497512437810945,3.03652031185884,3.2760298410639,2.22939278380757,7.48166259168704,4.62626262626263,1.05820105820106,0,0,0,5.24698652800756,0,14.3615676359039,0.0616617851086789,5.13687056437986,8.4762467967672
Synergistia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Actinobacteria (class),0.274547803617571,0,0,0,0,0.0140193466984439,0.0588697017268446,0.165837479270315,3.93926959376282,0.454103146286085,1.55470812555001,0.293398533007335,0,0.0195963158926122,0,0,0.121835657235684,0,0,0,0,0.450602681085952,0.492805046323674
Clostridia,0,0.350246969016614,0,0,0,0,0,0,0,0,1.5253740099736,0,0,0,0,0,0,0,0,0,0,0.0112650670271488,0
Cytophagia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4553518628031
Bacteroidia,0,0,0,0.0270233752195649,0,0,0,0,0,0,0.674684658257554,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes (class),0,0,0,0,0,0,0,0,0,0,0.117336462305661,0,0,0,0,0,0,0,0,0,0,0,0
Negativicutes,0,0,0,0,0,0,0,0,0,0,0.0586682311528307,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes (class),0,0,0,0,0,0,0.0098116169544741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelotrichia,0,0,0,0,0,0,0.0196232339089482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
