name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Betaproteobacteria,1000,0,50,1177,17,506,1733,369,180,759,325,599,903,2296,1352,4768,3116,4009,84,9929,0,26,13
Gammaproteobacteria,37,0,2956,6152,3741,5886,8265,3122,1968,2159,2817,1244,8539,7800,6767,0,4073,0,5884,226,0,2924,292
Sphingobacteriia,9486,4,12,0,11,0,0,103,32,0,23,7,0,0,0,0,189,0,0,0,0,4471,61
Cyanobacteria,897,11052,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6467,669,1187
Bacilli,0,1,41,67,22,29,154,0,64,50,22,7,0,0,1,0,0,0,0,0,0,0,0
Flavobacteriia,3593,2,8,0,0,704,12,0,21,0,12,29,0,0,0,0,0,0,1,6,0,0,1038
Cytophagia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545
Bacteroidia,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria,3372,1,6,3,0,7,19,18,74,101,76,153,458,108,0,0,0,222,0,1704,4,456,430
Cyanobacteria (class),139,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,281,482
Clostridia,0,39,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Synergistia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Actinobacteria,51,0,0,0,0,1,6,6,96,14,53,6,0,2,0,0,9,0,0,0,0,40,25
Negativicutes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelotrichia,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
