name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacteriaceae,9213,4,12,0,11,0,0,103,32,0,19,7,0,0,0,0,189,0,0,0,0,4471,61
Burkholderiaceae,0,0,7,0,9,20,7,250,101,541,195,130,903,2017,0,4768,3116,4009,53,9916,0,0,0
Paenibacillaceae,0,0,41,66,22,29,147,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonadaceae,0,0,10,1,1,3,7,228,55,1573,284,959,1004,3775,0,0,2466,0,0,0,0,2919,1
Pseudomonadaceae,37,0,2411,6066,3717,5666,8092,1091,951,161,205,85,7535,28,0,0,0,0,4228,101,0,3,196
Chroococcales (family),318,4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,63
Staphylococcaceae,0,0,0,0,0,0,5,0,5,15,9,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriaceae,3589,2,8,0,0,704,12,0,21,0,12,29,0,0,0,0,0,0,1,6,0,0,1038
Alcaligenaceae,2,0,0,0,0,0,0,24,6,0,15,0,0,103,0,0,0,0,31,0,0,20,0
Oscillatoriales (family),58,6946,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4317,57,65
Oxalobacteraceae,0,0,17,1003,4,420,1380,30,37,0,28,0,0,65,695,0,0,0,0,13,0,0,0
Comamonadaceae,998,0,4,162,2,18,304,0,0,217,2,469,0,0,0,0,0,0,0,0,0,4,13
Enterobacteriaceae,0,0,529,83,23,169,139,1726,936,148,2287,3,0,3916,6635,0,1607,0,1631,125,0,0,0
Acetobacteraceae,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,222,0,1082,4,0,0
Neisseriaceae,0,0,0,0,0,35,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae::Pseudomonadaceae,0,0,5,0,0,0,0,77,10,0,38,0,0,77,125,0,0,0,3,0,0,0,0
Streptococcaceae,0,0,0,0,0,0,2,0,23,11,13,0,0,0,0,0,0,0,0,0,0,0,0
Oscillatoriales (family)::Chroococcales (family),0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistaceae::Methylophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
