name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacteriaceae,51.0658914728682,0.0359227660529861,0.390497884803124,0,0.290160907412292,0,0,2.84687672747374,1.31308986458761,0,0.557348195951892,0.342298288508557,0,0,0,0,2.55854880194937,0,0,0,0,50.3661146783823,1.20244431302977
Burkholderiaceae,0,0,0.227790432801822,0,0.237404378791876,0.280386933968877,0.0686813186813187,6.90989496959646,4.14443988510464,17.5478430100551,5.720152537401,6.35696821515892,9.12121212121212,19.7628845776994,0,100,42.1822119940436,94.7530134719924,0.88792092477802,83.5735356089338,0,0,0
Paenibacillaceae,0,0,1.33420110641067,0.891771382245642,0.580321814824585,0.406561054254872,1.44230769230769,0,0.820681165367255,0.778462536490431,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonadaceae,0,0,0.325414904002603,0.0135116876097825,0.0263782643102084,0.0420580400953316,0.098116169544741,6.30182421227197,2.25687320475995,58.0278949075576,8.33088882370197,54.5721271393643,10.1414141414141,36.9880462473055,0,0,33.3829700825775,0,0,0,0,32.8827306522474,0.019712201852947
Pseudomonadaceae,0.199181739879414,0,78.4900748454279,81.9618970409404,98.0480084410446,79.4336183933829,79.3956043956044,30.154781647319,39.023389413213,5.22218618228998,6.01349369316515,4.15647921760391,76.1111111111111,0.293944738389183,0,0,0,0,71.2012062321997,0.851243152128108,0,0.0337952010814464,3.86359156317761
Chroococcales (family),1.71188630490956,36.3358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308308925543395,0.337952010814464,1.24186871673566
Staphylococcaceae,0,0,0,0,0,0,0.0490580847723705,0,0.205170291341814,0.48653908530652,0.264007040187738,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriaceae,19.3475452196382,0.017961383026493,0.260331923202083,0,0,9.86962007570447,0.117739403453689,0,0.861715223635618,0,0.352009386916984,1.41809290953545,0,0,0,0,0,0,0.0167532249958117,0.0505689001264222,0,0,20.461265523359
Alcaligenaceae,0.0107665805340224,0,0,0,0,0,0,0.66334991708126,0.246204349610176,0,0.440011733646231,0,0,1.00921026846953,0,0,0,0,0.519349974870162,0,0,0.225301340542976,0
Oscillatoriales (family),0.317614125753661,62.9097440502919,0,0,0,0,0,0,0.0820681165367255,0,0,0,0,0,0,0,0,0,0,0,66.5484815785417,0.642108820547482,1.28129312044155
Oxalobacteraceae,0,0,1.26911812561015,13.5792460478314,0.131891321551042,5.95822234683864,13.638147566719,2.57048092868988,2.95445219532212,0.0324359390204346,3.28542094455852,0,0,1.72447579854987,16.6502463054187,0,0,0,0,0.109565950273915,0,0,0
Comamonadaceae,5.37252368647717,0,0.130165961601041,2.18889339278476,0.0527565286204168,0.252348240571989,2.98273155416013,0,0,7.03859876743432,0.0586682311528307,22.9339853300734,0,0,0,0,0,0,0,0,0,0.0675904021628929,0.256258624088311
Enterobacteriaceae,0,0,17.377155873739,1.12147007161194,0.606700079134793,2.41132763213234,1.3638147566719,49.8341625207297,38.8182191218712,4.80051897502433,68.2018187151657,0.146699266503667,0,39.1436409954928,83.3251231527094,0,21.7544334641939,0,27.3747696431563,1.0535187526338,0,0,0
Acetobacteraceae,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0.146699266503667,0,0,0,0,0,5.24698652800756,0,9.11925832279815,0.0616617851086789,0,0
Neisseriaceae,0,0,0,0,0,0.490677134445535,0.0883045525902669,0,0.0410340582683627,0,0.0293341155764154,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae,0,0,0,0,0,0,0.0196232339089482,0,0.943783340172343,0.356795329224781,0.3813435024934,0,0,0,0,0,0,0,0,0,0,0,0
Synergistaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Piscirickettsiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225301340542976,0
Nostocaceae,3.53143841515935,0.260440053884149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2511176198551,9.67669257632083,30.0019712201853
Microbacteriaceae,0.258397932816538,0,0,0,0,0,0.0196232339089482,0.165837479270315,0.287238407878539,0,0.469345849222646,0,0,0.0195963158926122,0,0,0.121835657235684,0,0,0,0,0.0225301340542976,0.019712201852947
Nocardiaceae,0,0,0,0,0,0,0,0,2.05170291341814,0,0.3813435024934,0,0,0,0,0,0,0,0,0,0,0.326686943787316,0
Rhodocyclaceae,0,0,0,0.0405350628293474,0,0.098135426889107,0.0294348508634223,0.0552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonadaceae,0,0,0,0,0,0.630870601429973,0.0392464678178964,0,0,0,0.0880023467292461,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacteriaceae,0,0,0,0,0,0,0,0,1.35412392285597,0.389231268245216,0.234672924611323,0.293398533007335,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcaceae,0.0053832902670112,0.0449034575662326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacteraceae,0.597545219638243,0,0,0,0,0,0,0,0,0,0.117336462305661,0.58679706601467,0,0,0,0,0,0,0,0,0,0.788554691900417,0.0788488074117879
Burkholderiales (family),0,0,0,0.0945818132684772,0.0263782643102084,0.0140193466984439,0.176609105180534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geodermatophilaceae,0,0,0,0,0,0,0,0,0,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Stigonematales (family),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308308925543395,0.0450602681085953,0.315395229647152
Rhizobiaceae,0,0,0.0325414904002603,0.0405350628293474,0,0.0560773867937754,0.176609105180534,0.386954118297402,1.23102174805088,0,1.55470812555001,0,3.52525252525253,0.793650793650794,0,0,0,0,0,0,0,0.75475949081897,4.75064064656022
Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Bradyrhizobiaceae,0.0645994832041344,0,0.0325414904002603,0,0,0,0.0098116169544741,0,0.0820681165367255,2.75705481673694,0,4.64547677261614,0.939393939393939,0.254752106603958,0,0,0,0,0,0,0,0,0
Phyllobacteriaceae,0,0,0,0,0,0,0,0,0,0.0324359390204346,0,0.39119804400978,0.0303030303030303,0.00979815794630609,0,0,0,0,0,0,0,2.25301340542976,2.03035679085354
Hyphomicrobiaceae,0,0,0,0,0,0,0,0,0,0.324359390204346,0,1.56479217603912,0,0,0,0,0,0,0,0,0,0.563253351357441,0.84762467967672
Rhodobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698434155683226,0.0591366055588409
Methylobacteriaceae,0.231481481481481,0.00898069151324652,0,0,0,0,0,0,0,0.162179695102173,0.176004693458492,0,0,0,0,0,0,0,0,0,0,0,0.019712201852947
Brucellaceae,0.209948320413437,0,0.130165961601041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788554691900417,0.0788488074117879
Vibrionaceae,0,0,0,0,0,0,0.0098116169544741,0,0,1.97859228024651,0,1.9559902200489,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae,0,0.350246969016614,0,0,0,0,0,0,0,0,0.146670577882077,0,0,0,0,0,0,0,0,0,0,0.0112650670271488,0
Pleurocapsales (family),0,0.017961383026493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomycetaceae,0,0,0,0,0,0.0140193466984439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
