name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Burkholderiaceae,0,0,7,0,9,20,7,250,101,541,195,130,903,2016,0,4768,3116,4009,53,9916,0,0,0
Pseudomonadaceae,35,0,2412,6066,3717,5666,8092,1091,951,161,205,85,7535,30,0,0,0,0,4250,101,0,3,196
Sphingobacteriaceae,9486,4,12,0,11,0,0,103,32,0,19,0,0,0,0,0,189,0,0,0,0,4470,61
Paenibacillaceae,0,0,41,66,22,29,147,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonadaceae,0,0,10,1,1,3,10,228,55,1789,284,1116,1004,3775,0,0,2466,0,0,0,0,2919,1
Coxiellaceae,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcaceae,0,0,0,0,0,0,5,0,5,15,9,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriaceae,3593,0,8,0,0,704,12,0,21,0,12,29,0,0,0,0,0,0,1,6,0,0,1028
Alcaligenaceae,2,0,0,0,0,0,0,24,6,0,15,0,0,103,0,0,0,0,31,0,0,20,0
Oxalobacteraceae,0,0,39,1005,5,425,1390,93,72,1,112,0,0,176,1352,0,0,0,0,13,0,0,0
Comamonadaceae,998,0,4,162,2,18,304,0,0,217,2,469,0,0,0,0,0,0,0,0,0,6,13
Cyclobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542
Prevotellaceae,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rikenellaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylophilaceae,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,0,0,534,83,23,172,139,1803,946,148,2325,3,0,3995,6766,0,1607,0,1634,125,0,0,0
Acetobacteraceae,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,222,0,1082,0,0,0
Neisseriaceae,0,0,0,0,0,35,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobiaceae,0,0,0,0,0,0,0,0,0,10,0,32,0,0,0,0,0,0,0,0,0,50,41
Porphyromonadaceae,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Cytophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Halomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae,0,0,0,0,0,0,2,0,23,11,13,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonadaceae,3154,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,622,0,0,0
Moraxellaceae,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Rhizobiaceae,0,0,1,3,0,4,17,14,30,0,53,0,349,81,0,0,0,0,0,0,0,67,240
Eubacteriaceae,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rhodocyclaceae,0,0,0,3,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurellaceae,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Piscirickettsiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bacteroidetes (family),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
