name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,4471,61
Burkholderia,0,0,3,0,9,5,7,250,82,541,184,125,901,2017,0,4768,3116,4007,53,9916,0,0,0
Paenibacillus,0,0,41,63,22,29,145,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,0,10,0,0,1,7,0,0,1533,0,935,0,0,0,0,0,0,0,0,0,1,0
Pseudomonas,37,0,2411,6066,3717,5666,8092,1091,951,161,205,85,7535,28,0,0,0,0,4228,101,0,3,196
Xanthomonas,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2916,1
Synechococcus,0,3803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
Staphylococcus,0,0,0,0,0,0,5,0,5,15,9,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas::Xanthomonas,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Aphanocapsa,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
Chryseobacterium,0,0,8,0,0,704,12,0,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0
Achromobacter,0,0,0,0,0,0,0,15,5,0,5,0,0,72,0,0,0,0,29,0,0,0,0
Alcaligenes,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,1,0,0,15,0
Halomicronema,0,6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilia,0,0,10,6,1,13,2,30,11,0,28,0,0,65,224,0,0,0,0,0,0,0,0
Pedobacter,9213,4,9,0,11,0,0,72,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Dyella,0,0,0,0,1,0,0,228,44,13,275,23,929,3755,0,0,2437,0,0,0,0,0,0
Delftia,0,0,0,0,0,1,0,0,0,217,0,469,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium,0,0,0,972,0,214,1326,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter::Alcaligenes,0,0,0,0,0,0,0,9,1,0,8,0,0,23,0,0,0,0,0,0,0,0,0
