name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Burkholderia,0,0,3,0,9,5,7,250,82,541,182,124,899,2004,0,4728,3100,3978,53,9910,0,0,0
Pseudomonas,13,0,2408,6061,3715,5658,8084,1090,951,161,205,85,7516,30,0,0,0,0,4245,101,0,3,196
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4447,61
Paenibacillus,0,0,41,62,22,29,145,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,0,10,0,0,3,10,0,0,1752,0,1093,0,0,0,0,0,0,0,0,0,1,0
Rickettsiella,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2913,1
Staphylococcus,0,0,0,0,0,0,5,0,5,15,9,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,3492,0,0,0,0,0,0,0,14,0,9,24,0,0,0,0,0,0,1,6,0,0,0
Pedobacter,8402,4,8,0,11,0,0,73,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,7,0,0,704,12,0,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0
Achromobacter,0,0,0,0,0,0,0,24,6,0,13,0,0,95,0,0,0,0,29,0,0,0,0
Alcaligenes,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,2,0,0,15,0
Dyella,0,0,0,0,1,0,0,228,44,13,274,23,927,3748,0,0,2442,0,0,0,0,0,0
Delftia,0,0,0,0,0,1,0,0,0,216,0,469,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542
Prevotella,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Rhodanobacter,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,8,0,0,0,0,0,0
Bacillus,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hydrogenophaga,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium,0,0,0,974,0,214,1335,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0
