name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacteriales,9213,4,12,0,11,0,0,103,32,0,23,7,0,0,0,0,189,0,0,0,0,4471,61
Burkholderiales,1000,0,28,1172,16,459,1709,304,144,758,240,599,903,2185,695,4768,3116,4009,84,9929,0,24,13
Bacillales,0,1,41,66,22,29,152,0,41,39,9,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonadales,0,0,10,1,1,3,7,228,55,1573,284,959,1004,3775,0,0,2466,0,0,0,0,2919,9
Pseudomonadales,37,0,2411,6068,3717,5666,8102,1091,951,161,205,85,7535,28,0,0,0,0,4228,101,0,3,196
Chroococcales,318,4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,63
Flavobacteriales,3589,2,8,0,0,704,12,0,21,0,12,29,0,0,0,0,0,0,1,6,0,0,1038
Oscillatoriales,58,6946,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4317,57,65
Enterobacteriales,0,0,529,83,23,169,139,1726,936,148,2287,3,0,3916,6635,0,1607,0,1631,125,0,0,0
Rhodospirillales,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,222,0,1082,4,0,0
Neisseriales,0,0,0,0,0,35,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriales::Pseudomonadales,0,0,5,0,0,0,0,77,10,0,38,0,0,77,125,0,0,0,3,0,0,0,0
Lactobacillales,0,0,0,1,0,0,2,0,23,11,13,7,0,0,0,0,0,0,0,0,0,0,0
Oscillatoriales::Chroococcales,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistales::Methylophilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Thiotrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nostocales,647,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162,858,1522
Actinomycetales,51,0,0,0,0,1,6,6,96,14,45,6,0,2,0,0,9,0,0,0,0,40,25
Rhodocyclales,0,0,0,3,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonadales,0,0,0,0,0,45,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorales,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacterales::Sphingomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Caulobacterales,111,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,23,4
Enterobacteriales::Aeromonadales,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stigonematales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16
Pseudomonadales::Enterobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0
Rhizobiales,107,1,6,3,0,4,19,18,74,101,64,135,458,108,0,0,0,0,0,0,0,181,402
Burkholderiales::Enterobacteriales,0,0,22,0,1,4,0,63,35,1,84,0,0,111,656,0,0,0,0,0,0,0,0
Enterobacteriales::Burkholderiales,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Rhodobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,12
