name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacteriales,51.0658914728682,0.0359227660529861,0.390497884803124,0,0.290160907412292,0,0,2.84687672747374,1.31308986458761,0,0.674684658257554,0.342298288508557,0,0,0,0,2.55854880194937,0,0,0,0,50.3661146783823,1.20244431302977
Burkholderiales,5.3832902670112,0,1.62707452001302,15.8627212538846,0.448430493273543,6.50497686807795,16.866169544741,10.1437258153676,7.34509643003693,24.6188777165099,9.50425344675858,29.2909535452323,9.12121212121212,22.4965706447188,16.6502463054187,100,42.1822119940436,94.7530134719924,1.40727089964818,83.6831015592078,0,0.292891742705869,0.256258624088311
Bacillales,0,0.00898069151324652,1.33420110641067,0.891771382245642,0.580321814824585,0.406561054254872,1.49136577708006,0,1.68239638900287,1.26500162179695,0.264007040187738,0,0,0,0.0123152709359606,0,0,0,0,0,0,0,0
Xanthomonadales,0,0,0.325414904002603,0.0135116876097825,0.0263782643102084,0.0420580400953316,0.098116169544741,6.30182421227197,2.25687320475995,58.0278949075576,8.33088882370197,54.5721271393643,10.1414141414141,36.9880462473055,0,0,33.3829700825775,0,0,0,0,32.8827306522474,0.177409816676523
Pseudomonadales,0.199181739879414,0,78.4900748454279,81.98892041616,98.0480084410446,79.4336183933829,79.4937205651491,30.154781647319,39.023389413213,5.22218618228998,6.01349369316515,4.15647921760391,76.1111111111111,0.293944738389183,0,0,0,0,71.2012062321997,0.851243152128108,0,0.0337952010814464,3.86359156317761
Chroococcales,1.71188630490956,36.3358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308308925543395,0.337952010814464,1.24186871673566
Flavobacteriales,19.3475452196382,0.017961383026493,0.260331923202083,0,0,9.86962007570447,0.117739403453689,0,0.861715223635618,0,0.352009386916984,1.41809290953545,0,0,0,0,0,0,0.0167532249958117,0.0505689001264222,0,0,20.461265523359
Oscillatoriales,0.317614125753661,62.9097440502919,0,0,0,0,0,0,0.0820681165367255,0,0,0,0,0,0,0,0,0,0,0,66.5484815785417,0.642108820547482,1.28129312044155
Enterobacteriales,0,0,17.377155873739,1.12147007161194,0.606700079134793,2.41132763213234,1.3638147566719,49.8341625207297,38.8182191218712,4.80051897502433,68.2018187151657,0.146699266503667,0,39.1436409954928,83.3251231527094,0,21.7544334641939,0,27.3747696431563,1.0535187526338,0,0,0
Rhodospirillales,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0.146699266503667,0,0,0,0,0,5.24698652800756,0,9.11925832279815,0.0616617851086789,0,0
Neisseriales,0,0,0,0,0,0.490677134445535,0.0883045525902669,0,0.0410340582683627,0,0.0293341155764154,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillales,0,0,0,0.0135116876097825,0,0,0.0196232339089482,0,0.943783340172343,0.356795329224781,0.3813435024934,0.342298288508557,0,0,0,0,0,0,0,0,0,0,0
Synergistales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Thiotrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225301340542976,0
Nostocales,3.53143841515935,0.269420745397396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3281948512409,9.67669257632083,30.0611078257441
Actinomycetales,0.274547803617571,0,0,0,0,0.0140193466984439,0.0588697017268446,0.165837479270315,3.93926959376282,0.454103146286085,1.32003520093869,0.293398533007335,0,0.0195963158926122,0,0,0.121835657235684,0,0,0,0,0.450602681085952,0.492805046323674
Rhodocyclales,0,0,0,0.0405350628293474,0,0.098135426889107,0.0294348508634223,0.0552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonadales,0,0,0,0,0,0.630870601429973,0.0392464678178964,0,0,0,0.0880023467292461,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorales,0.0161498708010336,0.0449034575662326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacterales,0.597545219638243,0,0,0,0,0,0,0,0,0,0.117336462305661,0.58679706601467,0,0,0,0,0,0,0,0,0,0.788554691900417,0.0788488074117879
Stigonematales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308308925543395,0.0450602681085953,0.315395229647152
