name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Burkholderiales,1000,0,50,1174,17,464,1719,367,179,759,324,599,903,2296,1352,4768,3116,4009,84,9929,0,26,13
Pseudomonadales,37,0,2412,6068,3717,5666,8102,1091,951,161,205,85,7535,30,0,0,0,0,4250,101,0,3,196
Sphingobacteriales,9486,4,12,0,11,0,0,103,32,0,23,7,0,0,0,0,189,0,0,0,0,4471,61
Oscillatoriales,52,6989,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4310,3,8
Bacillales,0,0,41,66,22,29,152,0,41,39,9,0,0,0,1,0,0,0,0,0,0,0,0
Xanthomonadales,0,0,10,1,1,3,10,228,55,1789,284,1116,1004,3775,0,0,2466,0,0,0,0,2919,9
Legionellales,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chroococcales,317,4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,47
Nostocales,525,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2155,643,1121
Flavobacteriales,3593,1,8,0,0,704,12,0,21,0,12,29,0,0,0,0,0,0,1,6,0,0,1038
Cytophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545
Bacteroidales,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Methylophilales,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseriales,0,0,0,0,0,35,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriales,0,0,534,83,23,172,139,1803,946,148,2325,3,0,3995,6766,0,1607,0,1634,125,0,0,0
Rhodospirillales,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,222,0,1082,4,0,0
Rhizobiales,106,1,6,3,0,4,19,18,74,101,64,135,458,108,0,0,0,0,0,0,0,324,411
Oceanospirillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Lactobacillales,0,0,0,1,0,0,2,0,23,11,13,7,0,0,0,0,0,0,0,0,0,0,0
Clostridiales,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonadales,3154,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,622,0,0,3
Rhodocyclales,0,0,0,3,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurellales,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Thiotrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Actinomycetales,51,0,0,0,0,1,6,6,96,14,45,6,0,2,0,0,9,0,0,0,0,40,25
Aeromonadales,0,0,0,0,0,45,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorales,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacterales,111,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,70,4
Selenomonadales,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Stigonematales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11
Coriobacteriales,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Rhodobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,12
Alphaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadales,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrionales,0,0,0,0,0,0,1,0,0,61,0,40,0,0,0,0,0,0,0,0,0,0,0
Erysipelotrichales,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alteromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
