name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacterium sp,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,4471,61
Burkholderia sp,0,0,1,0,9,0,7,249,30,36,130,17,692,1593,0,4733,3006,3674,0,23,0,0,0
Paenibacillus sp,0,0,11,50,2,20,82,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas maltophilia::Stenotrophomonas sp,0,0,2,0,0,0,0,0,0,437,0,199,0,0,0,0,0,0,0,0,0,0,0
Burkholderia ubonensis,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,3,0,0,0,0,0,0
Pseudomonas sp,37,0,570,3549,782,4151,4900,94,275,22,53,26,2334,28,0,0,0,0,77,3,0,3,46
Paenibacillus odorifer,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas sp,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2916,1
Synechococcus sp,0,3803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
Burkholderia phenazinium,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,317,0,0,0,0,0
Staphylococcus warneri::Staphylococcus sp::Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia tropica,0,0,0,0,0,1,0,0,13,205,20,48,0,3,0,0,0,0,23,4134,0,0,0
Staphylococcus warneri::Staphylococcus haemolyticus::Staphylococcus sp,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus::Staphylococcus auricularis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas sp,0,0,0,0,0,0,7,0,0,1078,0,727,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas maltophilia::Stenotrophomonas sp::Xanthomonas sp,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphanocapsa sp,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
Chryseobacterium sp,0,0,8,0,0,594,11,0,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans::Achromobacter sp,0,0,0,0,0,0,0,14,1,0,2,0,0,42,0,0,0,0,6,0,0,0,0
Burkholderia cepacia::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,158,268,0,0,0,0,0,0,0,0,0
Alcaligenes sp,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,15,0
Halomicronema sp,0,6563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter sp,0,0,0,0,0,0,0,1,4,0,2,0,0,13,0,0,0,0,10,0,0,0,0
Massilia sp,0,0,10,6,1,4,2,30,11,0,28,0,0,65,224,0,0,0,0,0,0,0,0
Burkholderia tropica::Burkholderia sp,0,0,0,0,0,4,0,0,33,274,23,59,0,0,0,0,0,0,30,5759,0,0,0
Stenotrophomonas maltophilia,0,0,8,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0
Burkholderia cepacia::Burkholderia ambifaria::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
