name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacterium sp,0,0,0,0,0,0,0,0,0,0,0.264007040187738,0.342298288508557,0,0,0,0,0,0,0,0,0,50.3661146783823,1.20244431302977
Burkholderia sp,0,0,0.0325414904002603,0,0.237404378791876,0,0.0686813186813187,6.88225538971808,1.23102174805088,1.16769380473565,3.813435024934,0.831295843520782,6.98989898989899,15.6084656084656,0,99.2659395973154,40.6931095167186,86.8352635310801,0,0.193847450484619,0,0,0
Paenibacillus sp,0,0,0.357956394402864,0.675584380489123,0.0527565286204168,0.280386933968877,0.804552590266876,0,0.205170291341814,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas maltophilia::Stenotrophomonas sp,0,0,0.0650829808005207,0,0,0,0,0,0,14.1745053519299,0,9.73105134474328,0,0,0,0,0,0,0,0,0,0,0
Burkholderia ubonensis,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0.146972369194591,0,0,0.0406118857452281,0,0,0,0,0,0
Pseudomonas sp,0.199181739879414,0,18.5486495281484,47.952979327118,20.627802690583,58.1943081452404,48.0769230769231,2.59812050856827,11.2843660237998,0.713590658449562,1.55470812555001,1.27139364303178,23.5757575757576,0.274348422496571,0,0,0,0,1.2899983246775,0.0252844500632111,0,0.0337952010814464,0.906761285235561
Paenibacillus odorifer,0,0,0,0,0,0.126174120285995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas sp,0,0,0,0,0,0,0,0,0.205170291341814,0.129743756081739,0,0,0,0,0,0,0,0,0,0,0,32.8489354511659,0.019712201852947
Synechococcus sp,0,34.1535698248765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788554691900417,0.275970825941258
Burkholderia phenazinium,0,0,0,0,0,0,0,0,0,0.0324359390204346,0,0,0,0.00979815794630609,0,0,0.148910247732503,7.49231860080359,0,0,0,0,0
Staphylococcus warneri::Staphylococcus sp::Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,0.194615634122608,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,0.0324359390204346,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia tropica,0,0,0,0,0,0.0140193466984439,0,0,0.533442757488716,6.6493674991891,0.586682311528307,2.34718826405868,0,0.0293944738389183,0,0,0,0,0.385324174903669,34.8419721871049,0,0,0
Staphylococcus warneri::Staphylococcus haemolyticus::Staphylococcus sp,0,0,0,0,0,0,0,0,0,0.129743756081739,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus::Staphylococcus auricularis,0,0,0,0,0,0,0,0,0,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas sp,0,0,0,0,0,0,0.0686813186813187,0,0,34.9659422640285,0,35.5501222493888,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas maltophilia::Stenotrophomonas sp::Xanthomonas sp,0,0,0,0,0,0.0280386933968877,0,0,0,0.0973078170613039,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphanocapsa sp,0,2.1823080377189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146445871352935,0.433668440764833
Chryseobacterium sp,0,0,0.260331923202083,0,0,8.32749193887565,0.107927786499215,0,0.287238407878539,0,0.0880023467292461,0.244498777506112,0,0,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans::Achromobacter sp,0,0,0,0,0,0,0,0.386954118297402,0.0410340582683627,0,0.0586682311528307,0,0,0.411522633744856,0,0,0,0,0.10051934997487,0,0,0,0
Burkholderia cepacia::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,1.5959595959596,2.62590632961003,0,0,0,0,0,0,0,0,0
Alcaligenes sp,0.0053832902670112,0,0,0,0,0,0,0,0,0,0.0586682311528307,0,0,0.0783852635704488,0,0,0,0,0,0,0,0.168976005407232,0
Halomicronema sp,0,58.9402784014369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter sp,0,0,0,0,0,0,0,0.0276395798783858,0.164136233073451,0,0.0586682311528307,0,0,0.127376053301979,0,0,0,0,0.167532249958117,0,0,0,0
Massilia sp,0,0,0.325414904002603,0.0810701256586948,0.0263782643102084,0.0560773867937754,0.0196232339089482,0.829187396351575,0.45137464095199,0,0.82135523613963,0,0,0.636880266509896,2.75862068965517,0,0,0,0,0,0,0,0
Burkholderia tropica::Burkholderia sp,0,0,0,0,0,0.0560773867937754,0,0,1.35412392285597,8.88744729159909,0.674684658257554,2.88508557457213,0,0,0,0,0,0,0.502596749874351,48.5377159713443,0,0,0
Stenotrophomonas maltophilia,0,0,0.260331923202083,0,0,0,0,0,0,0.583846902367824,0,0.440097799511002,0,0,0,0,0,0,0,0,0,0,0
Burkholderia cepacia::Burkholderia ambifaria::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Burkholderia phytofirmans::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979815794630609,0,0,0.0135372952484094,0.118175372252423,0,0,0,0,0
Pedobacter sp,49.2248062015504,0.0359227660529861,0.195248942401562,0,0.290160907412292,0,0,1.54781647318961,0.0410340582683627,0,0.0293341155764154,0,0,0,0,0,0,0,0,0,0,0,0
Dyella japonica,0,0,0,0,0,0,0,2.1558872305141,0.164136233073451,0,0.909357582868876,0.097799511002445,5.48484848484848,6.37860082304527,0,0,23.4872072559903,0,0,0,0,0,0
Paenibacillus mendelii,0,0,0,0,0,0,0,0,0,0.713590658449562,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia fungorum::Burkholderia sp,0,0,0,0,0,0,0,0,0.246204349610176,0.810898475510866,0.205338809034908,0,0,0.17636684303351,0,0.0209731543624161,0.988222553133884,0.0236350744504845,0,0,0,0,0
Delftia tsuruhatensis::Delftia sp,0,0,0,0,0,0,0,0,0,2.36782354849173,0,6.60146699266504,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium sp,0,0,0,13.1333603567086,0,2.9721015000701,12.9709576138148,0,0.328272466146902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia sordidicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881834215167548,0,0,0.0406118857452281,0,0,0,0,0,0
Arenimonas malthae,0,0,0,0,0,0,0,0,0.246204349610176,0.551410963347389,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia phenazinium::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979815794630609,0,0,0,0.0709052233514536,0,0,0,0,0
Burkholderia vietnamiensis::Burkholderia sp::Burkholderia cepacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Delftia sp,0,0,0,0,0,0.0140193466984439,0,0,0,4.63833927992215,0,16.3325183374083,0,0,0,0,0,0,0,0,0,0,0
Burkholderia cepacia,0,0,0,0,0,0,0,0,0,0,0,0,0.292929292929293,0.342935528120713,0,0,0,0,0,0,0,0,0
Burkholderia cenocepacia,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0783852635704488,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans::Achromobacter sp::Alcaligenes sp,0,0,0,0,0,0,0,0.0829187396351575,0,0,0.0293341155764154,0,0,0.0783852635704488,0,0,0,0,0,0,0,0,0
Serratia liquefaciens,0,0,4.2629352424341,0,0.15826958586125,0.0280386933968877,0,10.7517965726921,8.53508411981945,0.227051573143042,15.2830742153124,0,0,7.58377425044092,6.18226600985222,0,0,0,0,0,0,0,0
Acetobacter pasteurianus,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas chlororaphis::Pseudomonas sp,0,0,0.0325414904002603,0.283745439805432,0,2.00476657787747,0.461145996860283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas fluorescens::Pseudomonas veronii::Pseudomonas sp,0,0,0,0,0,0.0280386933968877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microvirgula aerodenitrificans,0,0,0,0,0,0.196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas veronii,0,0,1.5619915392125,0.567490879610863,0,3.49081732791252,0.686813186813187,0,2.0927369716865,0.0973078170613039,0.0880023467292461,0.78239608801956,0,0,0,0,0,0,0,0.210703750526759,0,0,0
Achromobacter xylosoxidans::Alcaligenes sp,0,0,0,0,0,0,0,0.0829187396351575,0,0,0.117336462305661,0,0,0.107779737409367,0,0,0,0,0,0,0,0,0
Burkholderia oklahomensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489907897315305,0,0,0,0,0,0,0,0,0
Cupriavidus basilensis::Ralstonia sp,0,0,0,0,0,0.210290200476658,0,0,0.45137464095199,0,0.293341155764154,0.0488997555012225,0,0,0,0,0,0,0,0,0,0,0
Burkholderia phytofirmans::Burkholderia sordidicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236350744504845,0,0,0,0,0
Burkholderia phytofirmans,0,0,0.0650829808005207,0,0,0,0,0,0,0,0,0,0,0.00979815794630609,0,0,0.0270745904968187,0.0236350744504845,0,0,0,0,0
Dyella soli::Dyella sp,0,0,0,0,0,0,0,3.09563294637922,1.10791957324579,0.129743756081739,5.74948665297741,0.880195599022005,3.06060606060606,22.7611209092691,0,0,4.69744145119805,0,0,0,0,0,0
Duganella sp,0,0,0,0.0945818132684772,0,0.322444974064209,0.137362637362637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia xenovorans,0,0,0,0,0,0,0,0.0276395798783858,0,0,0,0,0.0101010101010101,0.00979815794630609,0,0.0209731543624161,0,0,0,0,0,0,0
Comamonas testosteroni::Comamonas sp,0,0,0,0,0,0.098135426889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas trivialis::Pseudomonas sp,0,0,4.06768630003254,1.13498175922173,0.0263782643102084,9.18267208748072,1.48155416012559,0.0276395798783858,5.04718916700862,0.291923451183912,0.440011733646231,1.12469437652812,0,0,0,0,0,0,0,0.404551201011378,0,0,0
Burkholderia glumae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Serratia liquefaciens::Rahnella sp,0,0,0.162707452001302,0,0,0,0,0.773908236594804,0.328272466146902,0,0.909357582868876,0,0,0.656476582402508,0.504926108374384,0,0,0,0,0,0,0,0
Aquitalea magnusonii,0,0,0,0,0,0.224309547175102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia xenovorans::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0.117336462305661,0,0.0202020202020202,0.00979815794630609,0,0,0.0947610667388656,0.047270148900969,0,0,0,0,0
Pseudomonas chlororaphis,0,0,0,0.0675584380489123,0,0.518715827842423,0.0883045525902669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia gladioli,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0.0391926317852244,0,0,0,0,0,0,0,0,0
Serratia proteamaculans::Serratia sp::Pseudomonas sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979815794630609,0.0123152709359606,0,0,0,0,0,0,0,0
Rhodanobacter sp,0,0,0,0,0,0,0,0,0,0.0648718780408693,0.205338809034908,0,0,0,0,0,0,0,0,0,0,0,0
