name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Burkholderia sp,0,NaN,0.0329055610398157,0,0.238347457627119,0,0.069293209265492,6.73429134967597,1.21797564048719,1.12508272667108,3.77703320134024,0.788177339901478,6.76120016440608,15.0231901593063,0,99.3204734765454,41.3118033723921,91.2408759124088,0,0.177951021099907,NaN,0,0
Pseudomonas fluorescens,0,NaN,35.8012504113195,12.1055495103373,0.317796610169492,0.666194188518781,11.6610572163928,27.9797125950972,5.58588828223436,3.27597617471873,2.58909533962839,0.591133004926108,39.5807644882861,0,0,0,0,0,66.3689974726201,0,NaN,0,0
Sphingobacterium sp,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,55.9520742076784,2.90275761973875
Pseudomonas stutzeri,0,NaN,1.97433366238894,1.93144722524483,0.0264830508474576,0.0566973777462792,1.69273411205702,0,0.587988240235195,0.132362673726009,0,0,4.79860254829429,0,0,0,0,0,2.83066554338669,0,NaN,0,7.16013546202225
Pseudomonas sp,0,NaN,18.5916419874959,48.0685527747552,20.4184322033898,58.3557760453579,48.168679469412,2.53592561284869,11.4237715245695,0.727994705493051,1.61437709412123,1.2807881773399,23.5511713933416,0.302480338777979,0,0,0,0,1.06149957877001,0.0254215744428438,NaN,0.0386498325173924,2.22544750846638
Paenibacillus sp,0,NaN,0.361961171437973,0.680087051142546,0.0529661016949153,0.283486888731396,0.791922391605623,0,0.209995800083998,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
Stenotrophomonas maltophilia,0,NaN,0.329055610398157,0,0,0.0283486888731396,0.0296970896852108,0,0,22.0383851753805,0,18.0295566502463,0,0,0,0,0,0,0,0,NaN,0,0
Rickettsiella sp,0,NaN,0,0,0,0,0.0890912690556325,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
Paenibacillus odorifer,0,NaN,0,0,0,0.127569099929128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
Staphylococcus sp,0,NaN,0,0,0,0,0,0,0,0,0.274139506548888,0,0,0,0,0,0,0,0,0,NaN,0,0
Xanthomonas sp,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,37.3615047668127,0.0483792936623125
Staphylococcus warneri,0,NaN,0,0,0,0,0,0,0,0.330906684315023,0,0,0,0,0,0,0,0,0,0,NaN,0,0
Staphylococcus pettenkoferi,0,NaN,0,0,0,0,0,0,0.0839983200335993,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
Staphylococcus haemolyticus,0,NaN,0,0,0,0,0,0,0,0.0992720052945069,0,0,0,0,0,0,0,0,0,0,NaN,0,0
Stenotrophomonas sp,0,NaN,0,0,0,0,0.069293209265492,0,0,35.638649900728,0,35.7635467980296,0,0,0,0,0,0,0,0,NaN,0,0
