name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Burkholderia sp,0,0,1,0,9,0,7,239,29,34,124,16,658,1490,0,4531,2891,3250,0,21,0,0,0
Pseudomonas fluorescens,0,0,1088,890,12,47,1178,993,133,99,85,12,3852,0,0,0,0,0,3939,0,0,0,0
Sphingobacterium sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4343,60
Pseudomonas stutzeri,0,0,60,142,1,4,171,0,14,4,0,0,467,0,0,0,0,0,168,0,0,0,148
Pseudomonas sp,0,0,565,3534,771,4117,4866,90,272,22,53,26,2292,30,0,0,0,0,63,3,0,3,46
Paenibacillus sp,0,0,11,50,2,20,80,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas maltophilia,0,0,10,0,0,2,3,0,0,666,0,366,0,0,0,0,0,0,0,0,0,0,0
Rickettsiella sp,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus odorifer,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus sp,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,1
Staphylococcus warneri,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus pettenkoferi,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas sp,0,0,0,0,0,0,7,0,0,1077,0,726,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas putida,0,0,371,1048,2902,22,1155,0,280,8,11,1,817,0,0,0,0,0,0,1,0,0,1
Paenibacillus borealis,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia tropica,0,0,0,0,0,5,0,0,46,478,43,105,0,0,0,0,0,0,53,9849,0,0,0
Achromobacter xylosoxidans,0,0,0,0,0,0,0,19,1,0,9,0,0,78,0,0,0,0,19,0,0,0,0
Achromobacter sp,0,0,0,0,0,0,0,4,5,0,4,0,0,14,0,0,0,0,9,0,0,0,0
Burkholderia cepacia,0,0,0,0,0,0,0,0,0,0,0,0,181,303,0,0,0,0,0,0,0,0,0
Alcaligenes sp,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,0,15,0
Burkholderia phenazinium,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,87,0,0,0,0,0
Delftia sp,0,0,0,0,0,1,0,0,0,142,0,333,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus ornithinivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Chryseobacterium sp,0,0,6,0,0,587,11,0,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0
Bacillus jeotgali,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium sp,2018,0,0,0,0,0,0,0,12,0,9,24,0,0,0,0,0,0,1,6,0,0,0
Burkholderia ubonensis,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0
Burkholderia fungorum,0,0,0,0,0,0,0,0,6,25,7,0,0,12,0,0,70,0,0,0,0,0,0
Delftia tsuruhatensis,0,0,0,0,0,0,0,0,0,72,0,134,0,0,0,0,0,0,0,0,0,0,0
Dyella japonica,0,0,0,0,0,0,0,78,4,0,31,2,536,646,0,0,1693,0,0,0,0,0,0
Hydrogenophaga atypica,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium sp,0,0,0,972,0,210,1322,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia sordidicola,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0
Pseudomonas frederiksbergensis,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia vietnamiensis,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0
Methylophilus methylotrophus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus tylopili,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia sp,0,0,4,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Dokdonella fugitiva,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0
Burkholderia cenocepacia,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0
Serratia liquefaciens,0,0,218,1,6,5,2,945,365,8,1035,0,0,1924,1887,0,0,0,0,0,0,0,0
Pseudomonas rhizosphaerae,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Acetobacter pasteurianus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525
Pseudomonas chlororaphis,0,0,1,26,0,180,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microvirgula aerodenitrificans,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas veronii,0,0,48,52,0,259,76,0,51,3,3,17,0,0,0,0,0,0,0,26,0,0,0
Hydrogenophaga taeniospiralis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus epidermidis,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus pabuli,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
