query,hit,identity,count
"salt-28F::IQI8EWF01DSVR7 rank=0242141 x=1442.0 y=85.5 length=892","Wolbachia sp -I95.00 Q705"
"salt-28F::IQI8EWF01DSVR7 rank=0242141 x=1442.0 y=85.5 length=892","Stenotrophomonas nitritireducens -I95.00 Q705"
"salt-28F::IQI8EWF01DSVR7 rank=0242141 x=1442.0 y=85.5 length=892","Hyphomicrobium sp -I92.19 Q705"
"salt-28F::IQI8EWF01DSVR7 rank=0242141 x=1442.0 y=85.5 length=892","Desulfuromusa sp -I93.44 Q705"
"salt-28F::IQI8EWF01DSVR7 rank=0242141 x=1442.0 y=85.5 length=892","Hyphomicrobium sp -I92.19 Q705"
"salt-28F::IQI8EWF01A8F5I rank=0127286 x=389.0 y=564.5 length=710","Pseudoalteromonas sp -I86.75 Q702"
"salt-28F::IQI8EWF01A8F5I rank=0127286 x=389.0 y=564.5 length=710","Glaciecola punicea -I85.55 Q702"
"salt-28F::IQI8EWF01A8F5I rank=0127286 x=389.0 y=564.5 length=710","Glaciecola sp -I86.14 Q702"
"salt-28F::IQI8EWF01A8F5I rank=0127286 x=389.0 y=564.5 length=710","Glaciecola sp -I86.14 Q702"
"salt-28F::IQI8EWF01A8F5I rank=0127286 x=389.0 y=564.5 length=710","Glaciecola sp -I86.14 Q702"
"salt-28F::IQI8EWF01BNV8R rank=0376612 x=565.5 y=361.0 length=706","Flavobacterium sp -I91.04 Q698"
"salt-28F::IQI8EWF01BNV8R rank=0376612 x=565.5 y=361.0 length=706","Flavobacterium sp -I91.08 Q698"
"salt-28F::IQI8EWF01BNV8R rank=0376612 x=565.5 y=361.0 length=706","Flavobacterium sp -I90.26 Q698"
"salt-28F::IQI8EWF01BNV8R rank=0376612 x=565.5 y=361.0 length=706","Flavobacterium sp -I89.17 Q698"
"salt-28F::IQI8EWF01BNV8R rank=0376612 x=565.5 y=361.0 length=706","Flavobacterium sp -I89.17 Q698"
