name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Sordariomycetes,59.1368750890187,99.8480243161094,73.7269096355467,22.6134272225334,96.2871722681682,65.8851884312007,9.11746721924044,99.983882232848,80.2682821289485,0.221610368679068,0,33.2339221533991,0.126696832579186,98.7469879518072,99.6253746253746,0.00630715862503942,0.037259366590768,0
Tremellomycetes,6.08175473579262,0,17.0743884173739,67.6962470993038,1.57487242653528,15.5346187554777,83.5246959711937,0,0.043271311120727,6.09092740581559,4.9939658640308,66.2307868777242,98.5248868778281,0.0803212851405622,0.337162837162837,99.9684642068748,99.9296211964397,0.251046025104603
Leotiomycetes,0.797607178464606,0,0.524213679480779,4.26502360566536,0,0,0.0271757592227733,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0.64093433983763,0,1.87219171243135,0.00800192046091062,0.959000527890199,13.8694127957932,0.156260615530946,0,19.6884465599308,93.6673158283527,0,0.504702913512273,0,0.273092369477912,0.024975024975025,0.00630715862503942,0,0
Monoblepharidomycetes,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi (class),33.3428286568865,0,6.68996505242137,2.52060494518684,1.17015660742566,0,3.51926081934914,0,0,0,95.0060341359692,0.0229410415232852,1.32126696832579,0.899598393574297,0,0,0,0
Saccharomycetes,0,0,0,0.752180523325598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209205020920502
Chytridiomycetes,0,0,0,0.952228534848364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricomycetes,0,0,0.0124812780828757,0.0240057613827319,0,3.87817703768624,0,0,0,0.00671546571754751,0,0.00764701384109505,0.0271493212669683,0,0,0.0189214758751183,0.0206996481059822,0
Microsporidetes,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dothideomycetes,0,0,0,0.176042250140034,0,0.131463628396144,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Exobasidiomycetes,0,0.151975683890578,0.0998502246630055,0.77618628470833,0,0.7011393514461,0,0,0,0,0,0,0,0,0,0,0,0
Lecanoromycetes,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0.0124875124875125,0,0,0
Entomophthoromycota (class),0,0,0,0,0,0,3.64834567565731,0,0,0.00671546571754751,0,0,0,0,0,0,0.0124197888635893,99.6025104602511
Ascomycota (class),0,0,0,0,0.00879816998064403,0,0,0,0,0.00671546571754751,0,0,0,0,0,0,0,0
Cystobasidiomycetes,0,0,0,0,0,0,0.00679393980569332,0,0,0,0,0,0,0,0,0,0,0.125523012552301
