name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocreaceae,4098,656,5881,2816,10933,3004,1341,18594,3702,6,0,4340,14,6138,7959,1,9,0
Tremellales (family),427,0,1361,2,179,484,326,0,0,902,863,8556,312,4,27,15850,24136,12
Tremellaceae,0,0,0,8458,0,225,1247,0,2,0,0,34,0,0,0,0,0,0
Leotiomycetes (family)::Myxotrichaceae,56,0,11,525,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Filobasidiales (family),0,0,7,0,0,0,9951,0,0,3,0,3,9934,1,0,0,0,0
Trichocomaceae,45,0,150,1,109,627,23,0,902,13924,0,66,0,17,2,1,0,0
Oedogoniomycetaceae,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierellaceae,840,0,0,235,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Hypocreales (family),0,0,2,1,2,1,0,3,0,0,0,2,0,3,4,0,0,0
Helminthosphaeriaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saccharomycetaceae,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spizellomycetaceae,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanitaceae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Erysiphaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremellales (family)::Tremellaceae,0,0,0,0,0,0,10,0,0,2,4,68,0,0,0,0,2,0
Rhytismataceae,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelohaniidae,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocreaceae::Hypocreales (family),1,1,1,1,9,2,0,3,3,0,0,1,0,5,4,0,0,0
Capnodiales (family),0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectriaceae,2,0,0,1,0,0,1,1,2,0,0,1,0,1,0,0,0,0
Olpidiaceae,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calosphaeriaceae,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerellaceae,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Bionectriaceae::Trichocomaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pleosporales (family),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordycipitaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chytridiaceae,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sordariomycetes (family),1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Malasseziaceae,0,1,8,97,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Hyaloscyphaceae,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cordycipitaceae::Clavicipitaceae,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Placynthiaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bionectriaceae::Hypocreales (family),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gomphidiaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exidiaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyporaceae,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,1,0,0
Capnodiales (family)::Hysteriaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clavicipitaceae,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Schizothyriaceae,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massariaceae::Amniculicolaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypocreales (family)::Ophiocordycipitaceae::Clavicipitaceae,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Hysteriaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boletaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olpidiaceae::Synchytriaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladochytriaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenochaetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Corticiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Helotiales (family)::Myxotrichaceae::Leotiomycetes (family),0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
