name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocreaceae,58.3819968665432,99.8480243161094,73.4148776834748,22.5414099383852,96.2695759282069,65.863277826468,9.11067327943474,99.9140385751894,80.1601038511467,0.0402927943052851,0,33.1956870841936,0.126696832579186,98.6827309236948,99.4380619380619,0.00630715862503942,0.037259366590768,0
Tremellales (family),6.08175473579262,0,16.9870194707938,0.0160038409218212,1.57487242653528,10.6047326906223,2.40505469121544,0,0,6.07078100866295,4.98247227170852,65.9478473656037,2.85067873303167,0.0642570281124498,0.337162837162837,99.9684642068748,99.9296211964397,0.251046025104603
Tremellaceae,0,0,0,67.680243258382,0,4.92988606485539,8.47204293769957,0,0.043271311120727,0,0.0114935923222803,0.259998470597232,0,0,0,0,0,0
Leotiomycetes (family),0.797607178464606,0,0.137294058911633,4.20100824197807,0,0,0.02038181941708,0,0,0,0,0,0,0,0,0,0,0
Filobasidiales (family),0,0,0.0873689465801298,0,0,0,72.6475983422787,0,0,0.0201463971526425,0,0.0229410415232852,95.6561085972851,0.0160642570281124,0,0,0,0
Trichocomaceae,0.64093433983763,0,1.87219171243135,0.00800192046091062,0.959000527890199,13.737949167397,0.156260615530946,0,19.5586326265686,93.5061446511315,0,0.504702913512273,0,0.273092369477912,0.024975024975025,0.00630715862503942,0,0
Oedogoniomycetaceae,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierellaceae,11.9641076769691,0,0,1.880451308314,0,0,0,0,0,0,0,0.0229410415232852,0,0,0,0,0,0
Hypocreales (family),0,0,0.0249625561657514,0.00800192046091062,0.0175963399612881,0.0219106047326906,0,0.0161177671519905,0.0216356555603635,0,0,0.0229410415232852,0,0.0481927710843373,0.04995004995005,0,0,0
Helminthosphaeriaceae,0,0,0,0,0,0,0,0.010745178101327,0,0,0,0,0,0,0,0,0,0
Saccharomycetaceae,0,0,0,0.752180523325598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209205020920502
Spizellomycetaceae,0,0,0,0.920220853004721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanitaceae,0,0,0,0,0,0,0,0,0,0,0,0.00764701384109505,0,0,0,0,0,0
Erysiphaceae,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhytismataceae,0,0,0.0249625561657514,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelohaniidae,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnodiales (family),0,0,0,0.136032647835481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectriaceae,0.0427289559891753,0,0.0124812780828757,0.00800192046091062,0,0,0.00679393980569332,0.00537258905066351,0.043271311120727,0,0,0.00764701384109505,0,0.0160642570281124,0,0,0,0
