name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea,4098,656,5881,2816,10933,3004,1341,18594,3702,6,0,4340,14,6138,7959,1,9,0
Trichosporon (Trichosporonales),427,0,1361,0,179,484,273,0,0,898,202,12,310,4,27,15844,24128,12
Cryptococcus (Tremellales),0,0,0,2,0,0,36,0,0,0,0,8497,1,0,0,1,0,0
Papiliotrema,0,0,0,8458,0,225,1247,0,2,0,0,34,0,0,0,0,0,0
Geomyces (Helotiales)::Pseudogymnoascus,56,0,11,525,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus (Filobasidiales),0,0,7,0,0,0,9951,0,0,3,0,3,9933,1,0,0,0,0
Penicillium::Eupenicillium::Aspergillus,44,0,12,0,104,600,23,0,844,13033,0,56,0,16,0,1,0,0
Hyaloraphidium,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera (Tremellales),0,0,0,0,0,0,14,0,0,1,651,8,1,0,0,2,3,0
Eurotium,0,0,0,0,0,0,0,0,8,190,0,3,0,0,0,0,0,0
Mortierella,840,0,0,235,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Myrothecium,0,0,1,0,0,1,0,3,0,0,0,2,0,2,2,0,0,0
Spadicoides,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saccharomyces,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlyctochytrium,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cryptococcus (Tremellales)::Trichosporon (Trichosporonales),0,0,0,0,0,0,2,0,0,0,0,37,0,0,0,0,0,0
Pleochaeta,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus (Tremellales)::Papiliotrema,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
Potebniamyces,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systenostrema,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea::Myrothecium,1,1,1,1,9,2,0,3,3,0,0,1,0,5,4,0,0,0
Microcyclospora,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaertneriomyces,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rozella,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powellomyces,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupenicillium::Penicillium,0,0,135,0,1,3,0,0,13,109,0,3,0,1,0,0,0,0
Phaeoacremonium,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus,0,0,2,1,0,7,0,0,7,196,0,0,0,0,0,0,0,0
Colletotrichum::Glomerella,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Geosmithia (Bionectriaceae)::Geosmithia (Talaromyces),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astrosphaeriella,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordyceps,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zygorhizidium,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncigena,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Penicillium,1,0,1,0,1,12,0,0,19,238,0,4,0,0,0,0,0,0
