name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocreales,59.1083891183592,99.8480243161094,73.7269096355467,22.557413779307,96.2871722681682,65.8851884312007,9.11746721924044,99.9570192875947,80.2466464733881,0.221610368679068,0,33.2339221533991,0.126696832579186,98.7469879518072,99.6003996003996,0.00630715862503942,0.037259366590768,0
Tremellales,6.08175473579262,0,16.9870194707938,67.6962470993038,1.57487242653528,15.5346187554777,10.877097628915,0,0.043271311120727,6.07078100866295,4.9939658640308,66.207845836201,2.85067873303167,0.0642570281124498,0.337162837162837,99.9684642068748,99.9296211964397,0.251046025104603
Leotiomycetes (order),0.797607178464606,0,0.137294058911633,4.20100824197807,0,0,0.02038181941708,0,0,0,0,0,0,0,0,0,0,0
Filobasidiales,0,0,0.0873689465801298,0,0,0,72.6475983422787,0,0,0.0201463971526425,0,0.0229410415232852,95.6561085972851,0.0160642570281124,0,0,0,0
Eurotiales,0.64093433983763,0,1.87219171243135,0.00800192046091062,0.959000527890199,13.8694127957932,0.156260615530946,0,19.6884465599308,93.6673158283527,0,0.504702913512273,0,0.273092369477912,0.024975024975025,0.00630715862503942,0,0
Monoblepharidales,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierellales,11.9641076769691,0,0,1.880451308314,0,0,0,0,0,0,0,0.0229410415232852,0,0,0,0,0,0
Sordariomycetes (order),0.0142429853297251,0,0,0,0,0,0,0.0161177671519905,0,0,0,0,0,0,0.0124875124875125,0,0,0
Saccharomycetales,0,0,0,0.752180523325598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209205020920502
Spizellomycetales,0,0,0,0.920220853004721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricales,0,0,0,0,0,0,0,0,0,0,0,0.00764701384109505,0,0,0,0,0,0
Erysiphales,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhytismatales,0,0,0.0249625561657514,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pansporablastina,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnodiales,0,0,0,0.152036488757302,0,0.131463628396144,0,0,0,0,0,0,0,0,0,0,0,0
Mucorales,21.3787209799174,0,6.68996505242137,0.64015363687285,1.17015660742566,0,3.51926081934914,0,0,0,95.0060341359692,0,1.32126696832579,0.899598393574297,0,0,0,0
Calosphaeriales,0,0,0,0.0480115227654637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerellales,0,0,0,0.00800192046091062,0,0,0,0.010745178101327,0,0,0,0,0,0,0.0124875124875125,0,0,0
Pleosporales,0,0,0,0.00800192046091062,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Chytridiales,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malasseziales,0,0.151975683890578,0.0998502246630055,0.77618628470833,0,0.7011393514461,0,0,0,0,0,0,0,0,0,0,0,0
Helotiales,0,0,0.361957064403395,0.0400096023045531,0,0,0.00679393980569332,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Peltigerales,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0.0124875124875125,0,0,0
Boletales,0,0,0,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auriculariales,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyporales,0,0,0,0,0,3.87817703768624,0,0,0,0,0,0,0.0271493212669683,0,0,0.00630715862503942,0,0
Hysteriales,0,0,0,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladochytriales,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenochaetales,0,0,0.0124812780828757,0,0,0,0,0,0,0,0,0,0,0,0,0.00630715862503942,0,0
Corticiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00630715862503942,0.0206996481059822,0
Basidiobolales,0,0,0,0,0,0,3.64834567565731,0,0,0.00671546571754751,0,0,0,0,0,0,0.0124197888635893,99.6025104602511
Gloeophyllales,0,0,0,0,0,0,0,0,0,0.00671546571754751,0,0,0,0,0,0,0,0
Ascomycota (order),0,0,0,0,0.00879816998064403,0,0,0,0,0.00671546571754751,0,0,0,0,0,0,0,0
Erythrobasidiales,0,0,0,0,0,0,0.00679393980569332,0,0,0,0,0,0,0,0,0,0,0.125523012552301
Xylariales,0,0,0,0,0,0,0,0,0.0216356555603635,0,0,0,0,0,0,0,0,0
Cystofilobasidiales,0,0,0,0,0,0,0,0,0,0,0,0,0.0180995475113122,0,0,0,0,0
Microascales,0.0142429853297251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
