name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea rufa::Hypocrea koningii::Hypocrea pseudokoningii,4058,654,5812,2788,10829,2988,1328,18500,3684,6,0,4314,12,6106,7918,1,9,0
Trichosporon porosum::Trichosporon sp,427,0,1361,0,179,484,273,0,0,898,202,10,310,4,27,15842,24127,12
Cryptococcus aureus,0,0,0,2,0,0,36,0,0,0,0,8497,1,0,0,1,0,0
Papiliotrema bandonii,0,0,0,8458,0,225,1247,0,2,0,0,34,0,0,0,0,0,0
Geomyces destructans::Pseudogymnoascus sp,56,0,11,525,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus vishniacii,0,0,7,0,0,0,9926,0,0,3,0,3,9911,1,0,0,0,0
Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus::Aspergillus flavus,44,0,12,0,104,600,23,0,844,13028,0,56,0,16,0,1,0,0
Hyaloraphidium curvatum,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera ninhbinhensis,0,0,0,0,0,0,9,0,0,1,618,8,0,0,0,0,0,0
Hypocrea rufa::Hypocrea sp::Hypocrea koningii,11,0,14,4,35,7,4,12,0,0,0,6,0,8,7,0,0,0
Hypocrea rufa::Hypocrea koningii,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0
Eurotium cristatum,0,0,0,0,0,0,0,0,8,190,0,3,0,0,0,0,0,0
Mortierella minutissima,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea sp,13,2,29,16,37,6,5,36,6,0,0,8,1,8,6,0,0,0
Myrothecium cinctum,0,0,1,0,0,1,0,3,0,0,0,2,0,2,2,0,0,0
Spadicoides verrucosa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saccharomyces cerevisiae,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa,14,0,21,8,26,3,3,35,6,0,0,10,1,15,22,0,0,0
Phlyctochytrium californicum,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita manicata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cryptococcus aureus::Trichosporon sp::Trichosporon porosum,0,0,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0
Pleochaeta turbinata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus aureus::Papiliotrema bandonii,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
Potebniamyces pyri,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systenostrema alba,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa::Myrothecium cinctum::Hypocrea koningii,1,1,1,1,8,2,0,3,3,0,0,1,0,5,4,0,0,0
Microcyclospora malicola::Microcyclospora pomicola::Microcyclospora tardicrescens,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectria cinnabarina,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaertneriomyces spectabile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rozella allomycis,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichosporon porosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Powellomyces variabilis::Powellomyces sp,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium expansum::Penicillium camemberti::Penicillium chrysogenum,0,0,120,0,0,0,0,0,4,9,0,3,0,0,0,0,0,0
Phaeoacremonium australiense,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus penicillioides,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletotrichum truncatum::Colletotrichum trifolii::Glomerella lindemuthiana::Colletotrichum circinans,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Geosmithia eupagioceri::Geosmithia sp Talaromyces,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bullera nakhonratchasimensis,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0
Mortierella indohii,544,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Astrosphaeriella aggregata::Astrosphaeriella sp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordyceps cicadae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zygorhizidium planktonicum,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powellomyces sp,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncigena adarca,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Penicillium chrysogenum,0,0,1,0,0,3,0,0,2,46,0,2,0,0,0,0,0,0
Phlyctochytrium sp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malassezia globosa::Malassezia sp,0,0,6,90,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Lachnum virgineum,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Malassezia sympodialis,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaria tenuipes::Gibellula formosana::Paecilomyces cicadae::Isaria fumosorosea,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koerberia biformis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Fusarium culmorum,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Derxomyces pseudohuiaensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Geosmithia putterillii::Myrothecium verrucaria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hypocrea lutea,1,0,4,0,4,0,1,6,3,0,0,2,0,0,3,0,0,0
Gomphidius roseus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exidia uvapsassa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligoporus balsameus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fusarium redolens,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Escovopsis cf weberi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcyclospora malicola::Microcyclospora pomicola::Microcyclospora tardicrescens::Oedohysterium insidens,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariannaea elegans,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Schizothyrium pomi,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massaria anomia::Amniculicola parva,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glomerella cingulata::Colletotrichum musae::Colletotrichum fragariae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Cryptococcus aureus::Trichosporon sp::Trichosporon porosum::Papiliotrema bandonii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trichosporon porosum::Trichosporon sp::Cryptococcus aureus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Penicillium sp,1,0,0,0,0,1,0,0,5,78,0,2,0,0,0,0,0,0
Trichosporon cutaneum,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
Chytriomyces sp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ustilaginoidea virens::Purpureocillium lilacinum::Ephelis japonica,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cryptococcus aureus::Trichosporon cutaneum,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Hysterobrevium smilacis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea lixii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Chamonixia caespitosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powellomyces variabilis::Powellomyces hirtus::Powellomyces sp::Entophlyctis confervae-glomeratae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polychytrium aggregatum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spizellomyces kniepii,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porodaedalea pini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lindtneria trachyspora::Pulcherricium caeruleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Cryptococcus aureus::Bullera nakhonratchasimensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chalara alabamensis::Pseudogymnoascus sp::Geomyces destructans,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spadicoides verrucosa::Gaeumannomyces medullaris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dioszegia zsoltii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Oedohysterium insidens::Friedmanniomyces simplex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera unica::Trichosporon sp::Trichosporon porosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Basidiobolus ranarum,0,0,0,0,0,0,537,0,0,1,0,0,0,0,0,0,3,4755
Penicillium commune,0,0,0,0,1,8,0,0,9,77,0,0,0,0,0,0,0,0
Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
Penicillium janthinellum::Aspergillus sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mucor sp,0,0,0,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0
Aspergillus sp,0,0,0,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0
Penicillium janthinellum,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Aspergillus niger,0,0,1,0,0,6,0,0,4,120,0,0,0,0,0,0,0,0
Penicilliopsis clavariiformis,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cerrena sp,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0
Monascus purpureus,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Penicillium commune::Penicillium janthinellum::Penicillium sp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum::Penicillium camemberti,0,0,0,0,1,2,0,0,9,95,0,0,0,1,0,0,0,0
Merimbla ingelheimensis::Hamigera avellanea,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
Penicillium janthinellum::Penicillium sp::Aspergillus flavus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Penicillium namyslowskii,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Isaria fumosorosea::Verticillium insectorum,0,0,0,0,0,0,0,0,0,21,0,0,0,0,5,0,0,0
Basidiobolus haptosporus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Monascus fuliginosus::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Neosartorya fischeri::Eupenicillium sp::Penicillium sp,0,0,0,0,0,1,0,0,1,19,0,0,0,0,0,0,0,0
Sagenomella humicola::Talaromyces byssochlamydoides,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Penicillium griseofulvum::Penicillium sp::Phialosimplex sp,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
Penicillium chrysogenum::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
