name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea rufa::Hypocrea koningii::Hypocrea pseudokoningii,57.7980344680245,99.3920972644377,72.5411882176735,22.3093542450188,95.2753827203941,65.4688869412796,9.02235206196073,99.392897437275,79.7057550843791,0.0402927943052851,0,32.9892177104841,0.108597285067873,98.0883534136546,98.8761238761239,0.00630715862503942,0.037259366590768,0
Trichosporon porosum::Trichosporon sp,6.08175473579262,0,16.9870194707938,0,1.57487242653528,10.6047326906223,1.85474556695428,0,0,6.03048821435767,1.16085282455031,0.0764701384109505,2.80542986425339,0.0642570281124498,0.337162837162837,99.9180069378745,99.8840819706065,0.251046025104603
Cryptococcus aureus,0,0,0,0.0160038409218212,0,0,0.24458183300496,0,0,0,0,64.9766766077847,0.00904977375565611,0,0,0.00630715862503942,0,0
Papiliotrema bandonii,0,0,0,67.680243258382,0,4.92988606485539,8.47204293769957,0,0.043271311120727,0,0,0.259998470597232,0,0,0,0,0,0
Geomyces destructans::Pseudogymnoascus sp,0.797607178464606,0,0.137294058911633,4.20100824197807,0,0,0.02038181941708,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus vishniacii,0,0,0.0873689465801298,0,0,0,67.4366465113119,0,0,0.0201463971526425,0,0.0229410415232852,89.6923076923077,0.0160642570281124,0,0,0,0
Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus::Aspergillus flavus,0.626691354507905,0,0.149775336994508,0,0.915009677986979,13.1463628396144,0.156260615530946,0,18.2604932929468,87.489087368209,0,0.428232775101323,0,0.257028112449799,0,0.00630715862503942,0,0
Hyaloraphidium curvatum,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera ninhbinhensis,0,0,0,0,0,0,0.0611454582512399,0,0,0.00671546571754751,3.55152002758462,0.0611761107287604,0,0,0,0,0,0
Hypocrea rufa::Hypocrea sp::Hypocrea koningii,0.156672838626976,0,0.17473789316026,0.0320076818436425,0.307935949322541,0.153374233128834,0.0271757592227733,0.0644710686079622,0,0,0,0.0458820830465703,0,0.1285140562249,0.0874125874125874,0,0,0
Hypocrea rufa::Hypocrea koningii,0,0,0,0,0,0,0,0.0214903562026541,0,0,0,0,0,0.0160642570281124,0.0124875124875125,0,0,0
Eurotium cristatum,0,0,0,0,0,0,0,0,0.173085244482908,1.27593848633403,0,0.0229410415232852,0,0,0,0,0,0
Mortierella minutissima,0,0,0,1.880451308314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea sp,0.185158809286426,0.303951367781155,0.361957064403395,0.12803072737457,0.325532289283829,0.131463628396144,0.0339696990284666,0.193413205823887,0.129813933362181,0,0,0.0611761107287604,0.00904977375565611,0.1285140562249,0.0749250749250749,0,0,0
Myrothecium cinctum,0,0,0.0124812780828757,0,0,0.0219106047326906,0,0.0161177671519905,0,0,0,0.0152940276821901,0,0.0321285140562249,0.024975024975025,0,0,0
Spadicoides verrucosa,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Saccharomyces cerevisiae,0,0,0,0.752180523325598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa,0.199401794616152,0,0.262106839740389,0.0640153636872849,0.228752419496745,0.0657318141980719,0.02038181941708,0.188040616773223,0.129813933362181,0,0,0.0764701384109505,0.00904977375565611,0.240963855421687,0.274725274725275,0,0,0
Phlyctochytrium californicum,0,0,0,0.376090261662799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita manicata,0,0,0,0,0,0,0,0,0,0,0,0.00764701384109505,0,0,0,0,0,0
Cryptococcus aureus::Trichosporon sp::Trichosporon porosum,0,0,0,0,0,0,0.0135878796113866,0,0,0,0,0.267645484438327,0,0,0,0,0,0
Pleochaeta turbinata,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus aureus::Papiliotrema bandonii,0,0,0,0,0,0,0,0,0,0,0,0.512349927353368,0,0,0,0,0,0
Potebniamyces pyri,0,0,0.0249625561657514,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systenostrema alba,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa::Myrothecium cinctum::Hypocrea koningii,0.0142429853297251,0.151975683890578,0.0124812780828757,0.00800192046091062,0.0703853598451522,0.0438212094653812,0,0.0161177671519905,0.0649069666810904,0,0,0.00764701384109505,0,0.0803212851405622,0.04995004995005,0,0,0
Microcyclospora malicola::Microcyclospora pomicola::Microcyclospora tardicrescens,0,0,0,0.12803072737457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectria cinnabarina,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaertneriomyces spectabile,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rozella allomycis,0,0,0,0.51212290949828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichosporon porosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126143172500788,0,0
Powellomyces variabilis::Powellomyces sp,0,0,0,0.608145955029207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium expansum::Penicillium camemberti::Penicillium chrysogenum,0,0,1.49775336994508,0,0,0,0,0,0.0865426222414539,0.0604391914579276,0,0.0229410415232852,0,0,0,0,0,0
Phaeoacremonium australiense,0,0,0,0.0480115227654637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus penicillioides,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletotrichum truncatum::Colletotrichum trifolii::Glomerella lindemuthiana::Colletotrichum circinans,0,0,0,0.00800192046091062,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Geosmithia eupagioceri::Geosmithia sp Talaromyces,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Bullera nakhonratchasimensis,0,0,0,0,0,0,0.0339696990284666,0,0,0,0,0,0,0,0,0.0126143172500788,0.0124197888635893,0
Mortierella indohii,7.74818401937046,0,0,0,0,0,0,0,0,0,0,0.0229410415232852,0,0,0,0,0,0
Astrosphaeriella aggregata::Astrosphaeriella sp,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordyceps cicadae,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Zygorhizidium planktonicum,0,0,0,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powellomyces sp,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncigena adarca,0.0142429853297251,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0.0124875124875125,0,0,0
Penicillium chrysogenum,0,0,0.0124812780828757,0,0,0.0657318141980719,0,0,0.043271311120727,0.308911423007186,0,0.0152940276821901,0,0,0,0,0,0
Phlyctochytrium sp,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malassezia globosa::Malassezia sp,0,0,0.0748876684972541,0.720172841481956,0,0.7011393514461,0,0,0,0,0,0,0,0,0,0,0,0
Lachnum virgineum,0,0,0.0124812780828757,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Malassezia sympodialis,0,0,0,0.0560134432263743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaria tenuipes::Gibellula formosana::Paecilomyces cicadae::Isaria fumosorosea,0,0,0.0124812780828757,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Koerberia biformis,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0.0124875124875125,0,0,0
Fusarium culmorum,0.0142429853297251,0,0,0,0,0,0,0,0.0216356555603635,0,0,0.00764701384109505,0,0,0,0,0,0
Derxomyces pseudohuiaensis,0,0,0,0,0,0,0,0,0,0,0,0.00764701384109505,0,0,0,0,0,0
