name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea rufa,58.1825950719271,99.5440729483283,73.0029955067399,22.4133792110106,95.9088509590005,65.7318141980719,9.06990964060059,99.6830172460108,79.9653829511034,0.0402927943052851,0,33.1192169457827,0.117647058823529,98.5542168674699,99.3131868131868,0.00630715862503942,0.037259366590768,0
Trichosporon porosum,6.08175473579262,0,16.9870194707938,0,1.57487242653528,10.6047326906223,1.97024254365106,0,0,6.05063461151031,1.16085282455031,0.0841171522520456,2.82352941176471,0.0642570281124498,0.337162837162837,99.9306212551246,99.8882219002277,0.251046025104603
Cryptococcus aureus,0,0,0,0.0160038409218212,0,0,0.271757592227733,0,0,0.013430931435095,0,65.7796130610996,0.0180995475113122,0,0,0.0126143172500788,0,0
Papiliotrema bandonii,0,0,0,67.680243258382,0,4.92988606485539,8.47204293769957,0,0.043271311120727,0,0.0114935923222803,0.259998470597232,0,0,0,0,0,0
Geomyces destructans,0.797607178464606,0,0.137294058911633,4.20100824197807,0,0,0.02038181941708,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus vishniacii,0,0,0.0873689465801298,0,0,0,72.4777498471364,0,0,0.0201463971526425,0,0.0229410415232852,95.4117647058823,0.0160642570281124,0,0,0,0
Penicillium janthinellum,0.626691354507905,0,0.149775336994508,0,0.915009677986979,13.1682734443471,0.156260615530946,0,18.3037646040675,87.8047142569337,0,0.428232775101323,0,0.257028112449799,0,0.00630715862503942,0,0
Hyaloraphidium curvatum,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera ninhbinhensis,0,0,0,0,0,0,0.0611454582512399,0,0,0.00671546571754751,3.55152002758462,0.0611761107287604,0,0,0,0,0,0
Eurotium cristatum,0,0,0,0,0,0,0,0,0.173085244482908,1.27593848633403,0,0.0229410415232852,0,0,0,0,0,0
Mortierella minutissima,0,0,0,1.880451308314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea sp,0.185158809286426,0.303951367781155,0.361957064403395,0.12803072737457,0.325532289283829,0.131463628396144,0.0339696990284666,0.193413205823887,0.129813933362181,0,0,0.0611761107287604,0.00904977375565611,0.1285140562249,0.0749250749250749,0,0,0
Myrothecium cinctum,0,0,0.0124812780828757,0,0,0.0219106047326906,0,0.0161177671519905,0,0,0,0.0152940276821901,0,0.0321285140562249,0.024975024975025,0,0,0
Spadicoides verrucosa,0,0,0,0,0,0,0,0.010745178101327,0,0,0,0,0,0,0,0,0,0
Saccharomyces cerevisiae,0,0,0,0.752180523325598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlyctochytrium californicum,0,0,0,0.376090261662799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita manicata,0,0,0,0,0,0,0,0,0,0,0,0.00764701384109505,0,0,0,0,0,0
Pleochaeta turbinata,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potebniamyces pyri,0,0,0.0249625561657514,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systenostrema alba,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcyclospora malicola,0,0,0,0.136032647835481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectria cinnabarina,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaertneriomyces spectabile,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rozella allomycis,0,0,0,0.51212290949828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powellomyces variabilis,0,0,0,0.616147875490118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupenicillium crustaceum,0,0,1.68497254118822,0,0.00879816998064403,0.0657318141980719,0,0,0.281263522284725,0.731985763212679,0,0.0229410415232852,0,0.0160642570281124,0,0,0,0
Phaeoacremonium australiense,0,0,0,0.0480115227654637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus penicillioides,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletotrichum truncatum,0,0,0,0.00800192046091062,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Geosmithia eupagioceri,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Bullera nakhonratchasimensis,0,0,0,0,0,0,0.0951151572797065,0,0,0,0,0,0,0,0,0.0126143172500788,0.0206996481059822,0
Mortierella indohii,7.77666999002991,0,0,0,0,0,0,0,0,0,0,0.0229410415232852,0,0,0,0,0,0
Astrosphaeriella aggregata,0,0,0,0.00800192046091062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordyceps cicadae,0,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0,0,0,0
Zygorhizidium planktonicum,0,0,0,0.0160038409218212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powellomyces sp,0,0,0,0.0240057613827319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncigena adarca,0.0142429853297251,0,0,0,0,0,0,0.00537258905066351,0,0,0,0,0,0,0.0124875124875125,0,0,0
