name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Hypocrea rufa,4064,652,5827,2788,10865,2993,1331,18452,3676,6,0,4306,13,6099,7920,1,9,0
Penicillium janthinellum,44,0,12,0,104,601,23,0,840,12996,0,56,0,16,0,1,0,0
Trichosporon porosum,423,0,1359,0,177,481,258,0,0,884,200,10,308,4,27,15570,23475,8
Cryptococcus vishniacii,0,0,4,0,0,0,9435,0,0,0,0,3,9197,1,0,0,0,0
Cryptococcus aureus,0,0,0,0,0,0,14,0,0,0,0,628,2,0,0,0,0,0
Papiliotrema bandonii,0,0,0,8412,0,223,1243,0,2,0,2,25,0,0,0,0,0,0
Umbelopsis isabellina,789,0,53,0,133,0,483,0,0,0,16338,0,143,0,0,0,0,0
Umbelopsis (unk species),609,0,4,0,0,0,8,0,0,0,178,0,3,0,0,0,0,0
Helicostylum (unk species),0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomophthoromycota (class) (unk order),0,0,0,0,0,0,525,0,0,1,0,0,0,0,0,0,3,4731
Geomyces destructans,56,0,11,523,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Helicostylum pulchrum,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus (Filobasidiales) (unk species),0,0,3,0,0,0,1104,0,0,3,0,0,1267,0,0,0,0,0
Cryptococcus (Tremellales) (unk species),0,0,0,1,0,0,22,0,0,2,0,7757,0,0,0,1,0,0
Umbelopsidaceae (unk genus),77,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0
Penicillium commune,0,0,0,0,2,8,0,0,9,88,0,0,0,0,0,0,0,0
Tremellales (family) (unk genus),0,0,0,1,0,0,7,0,0,1,4,222,2,0,0,33,91,0
Hypocrea (unk species),22,3,21,10,35,8,4,89,18,0,0,28,0,29,26,0,0,0
Trichocomaceae (unk genus),0,0,0,0,0,0,0,0,2,43,0,0,0,0,0,0,0,0
Trichosporon (Trichosporonales) (unk species),4,0,2,0,2,3,29,0,0,16,2,1,3,0,0,243,566,4
Papiliotrema (unk species),0,0,0,39,0,2,3,0,0,0,0,7,0,0,0,0,0,0
Hypocrea sp,10,2,27,15,31,4,4,35,6,0,0,6,1,8,6,0,0,0
Monoblepharidales (unk family),0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filobasidiales (family) (unk genus),0,0,0,0,0,0,152,0,0,0,0,0,105,0,0,0,0,0
Hypocreaceae (unk genus),3,0,4,4,7,1,1,18,4,0,0,0,0,7,9,0,0,0
