"","Sample_name","Sample_number","PlateNo","Soil","Dil","Dispersal","comple_info","plateID","Dalapon","Glucose"
"1","Soil A","X1",NA,"A",NA,NA,NA,NA,NA,NA
"2","Soil B","X2",NA,"B",NA,NA,NA,NA,NA,NA
"3","Soil C","X3",NA,"C",NA,NA,NA,NA,NA,NA
"4","Soil D","X4",NA,"D",NA,NA,NA,NA,NA,NA
"5","13A C9","X62",13,"A",1,"Yes","soil-A-dilution-1-dispersal-Yes","Old_13",0.65,2
"6","13B C9","X48",13,"A",1,"Yes","soil-A-dilution-1-dispersal-Yes","Old_13",0.65,2
"7","19A C9","X53",19,"C",1,"Yes","soil-C-dilution-1-dispersal-Yes","Old_19",0.65,2
"8","19B C9","X65",19,"C",1,"Yes","soil-C-dilution-1-dispersal-Yes","Old_19",0.65,2
"9","22A C9","X60",22,"D",1,"Yes","soil-D-dilution-1-dispersal-Yes","Old_22",0.65,2
"10","22B C9","X67",22,"D",1,"Yes","soil-D-dilution-1-dispersal-Yes","Old_22",0.65,2
"11","13A C3","X90",13,"A",1,"Yes","soil-A-dilution-1-dispersal-Yes","Old_13",0.05,2
"12","13B C3","X85",13,"A",1,"Yes","soil-A-dilution-1-dispersal-Yes","Old_13",0.05,2
"13","16A C3","X96",16,"B",1,"Yes","soil-B-dilution-1-dispersal-Yes","Old_16",0.05,2
"14","16B B3","X97",16,"B",1,"Yes","soil-B-dilution-1-dispersal-Yes","Old_16",0.05,5
"15","19A C3","X98",19,"C",1,"Yes","soil-C-dilution-1-dispersal-Yes","Old_19",0.05,2
"16","19B C3","X106",19,"C",1,"Yes","soil-C-dilution-1-dispersal-Yes","Old_19",0.05,2
"17","22A C3","X71",22,"D",1,"Yes","soil-D-dilution-1-dispersal-Yes","Old_22",0.05,2
"18","22B C3","X79",22,"D",1,"Yes","soil-D-dilution-1-dispersal-Yes","Old_22",0.05,2
